Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,up_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
899,Impaired Lipoxin A4 signaling in CF,44,7.205E-01,8.706E-01,7.205E-01,8.706E-01,1,Adenylate cyclase,
900,TGF-beta 1-mediated induction of EMT in normal and asthmatic airway epithelium,44,7.205E-01,8.706E-01,7.205E-01,8.706E-01,1,p38 MAPK,
901,Role of TLR signaling in skin sensitization,44,7.205E-01,8.706E-01,7.205E-01,8.706E-01,1,p38 MAPK,
902,Thiamine metabolism,44,7.205E-01,8.706E-01,7.205E-01,8.706E-01,1,SLC44A4,
903,Proliferative action of Gastrin in pancreatic cancer,44,7.205E-01,8.706E-01,7.205E-01,8.706E-01,1,STAT3,
904,Apoptosis and survival_FAS signaling cascades,44,7.205E-01,8.706E-01,7.205E-01,8.706E-01,1,Bcl-2,
905,Role of mevalonate pathway in multiple myeloma,44,7.205E-01,8.706E-01,7.205E-01,8.706E-01,1,RhoB,
906,Immune response_CRTH2 signaling in Th2 cells,44,7.205E-01,8.706E-01,7.205E-01,8.706E-01,1,Adenylate cyclase,
907,Arachidonic acid metabolites production in eosinophils in asthma,44,7.205E-01,8.706E-01,7.205E-01,8.706E-01,1,p38 MAPK,
908,Leptin signaling in colorectal cancer,44,7.205E-01,8.706E-01,7.205E-01,8.706E-01,1,STAT3,
909,Development_S1P1 signaling pathway,44,7.205E-01,8.706E-01,7.205E-01,8.706E-01,1,Adenylate cyclase,
910,Development_Negative regulation of WNT/Beta-catenin signaling in the nucleus,89,7.258E-01,8.706E-01,7.258E-01,8.706E-01,2,"ZNF703, SOX2",
911,Apo-2L(TNFSF10)-induced apoptosis in melanoma,45,7.285E-01,8.706E-01,7.285E-01,8.706E-01,1,XBP1,
912,Development_Negative regulation of WNT/Beta-catenin signaling at the receptor level,45,7.285E-01,8.706E-01,7.285E-01,8.706E-01,1,Klotho,
913,Stem cells_Excitotoxicity of Glutamate in glioblastoma,45,7.285E-01,8.706E-01,7.285E-01,8.706E-01,1,SLC1A2/EAAT2,
914,SCAP/SREBP Transcriptional Control of Cholesterol and FA Biosynthesis,45,7.285E-01,8.706E-01,7.285E-01,8.706E-01,1,HMGCS2,
915,LKB1 signaling pathway in lung cancer cells,45,7.285E-01,8.706E-01,7.285E-01,8.706E-01,1,STAT3,
916,Development_EPO-induced MAPK pathway,45,7.285E-01,8.706E-01,7.285E-01,8.706E-01,1,Epo,
917,Cell adhesion_Histamine H1 receptor signaling in the interruption of cell barrier integrity,45,7.285E-01,8.706E-01,7.285E-01,8.706E-01,1,MLCK,
918,Signal transduction_Angiotensin II/ AGTR1 signaling via JAK/STAT,45,7.285E-01,8.706E-01,7.285E-01,8.706E-01,1,STAT3,
919,"Role of TNF-alpha, IL-1beta and IL-6 in development of obesity and type 2 diabetes in liver",45,7.285E-01,8.706E-01,7.285E-01,8.706E-01,1,STAT3,
920,T follicular helper cell dysfunction in SLE,90,7.315E-01,8.706E-01,7.315E-01,8.706E-01,2,"STAT3, MHC class II",
921,Glycine and L-Serine metabolism,133,7.355E-01,8.706E-01,7.355E-01,8.706E-01,3,"SLC7A8, GNMT, AGXT",
922,Niacin-HDL metabolism,46,7.363E-01,8.706E-01,7.363E-01,8.706E-01,1,HDL proteins,
923,Immune response_Inhibitory action of Lipoxins on pro-inflammatory TNF-alpha signaling,46,7.363E-01,8.706E-01,7.363E-01,8.706E-01,1,STAT3,
924,Anandamide biosynthesis and metabolism,46,7.363E-01,8.706E-01,7.363E-01,8.706E-01,1,HRSL5,
925,Dual function of Treg cells in cancer development,46,7.363E-01,8.706E-01,7.363E-01,8.706E-01,1,STAT3,
926,Glomerular injury in Lupus Nephritis,92,7.426E-01,8.706E-01,7.426E-01,8.706E-01,2,"p38 MAPK, Bcl-2",
927,Immune response_Induction of apoptosis and inhibition of proliferation mediated by IFN-gamma,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,Rb protein,
928,Immune response_Histamine H1 receptor signaling in immune response,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,p38 MAPK,
929,Development_Beta-adrenergic receptor-induced regulation of ERK,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,Adenylate cyclase,
930,Regulation of mast cell survival in asthma,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,Bcl-2,
931,Immune response_Fc gamma R-mediated phagocytosis in macrophages,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,Hck,
932,Canonical Notch signaling pathway in colorectal cancer,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,Mucin 2,
933,Development_HGF signaling pathway,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,STAT3,
934,Immune response_Role of DPP4 (CD26) in immune regulation,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,MHC class II,
935,Phospholipid metabolism p.2,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,HRSL5,
936,Regulation of lipid metabolism_PPAR regulation of lipid metabolism,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,Fatty acid-binding protein,
937,Neurophysiological process_Circadian rhythm,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,Dexras1,
938,Renal secretion of drugs / Rodent version ,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,SLC22A8,
939,Transport_GPR40 signaling pathway in beta cells,47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,CACNA1D,
940,wtCFTR and deltaF508 traffic / Membrane expression (normal and CF),47,7.438E-01,8.706E-01,7.438E-01,8.706E-01,1,EBP50,
941,L-Lysine metabolism,93,7.480E-01,8.706E-01,7.480E-01,8.706E-01,2,"CRYM, CAT-2",
942,Development_VEGF signaling via VEGFR2 - generic cascades,93,7.480E-01,8.706E-01,7.480E-01,8.706E-01,2,"p38 MAPK, MLCK",
943,Immune response_NF-AT signaling and leukocyte interactions,48,7.512E-01,8.706E-01,7.512E-01,8.706E-01,1,MHC class II,
944,Neuroendocrine transdifferentiation in Prostate Cancer,48,7.512E-01,8.706E-01,7.512E-01,8.706E-01,1,STAT3,
945,Muscle contraction_Relaxin signaling pathway,48,7.512E-01,8.706E-01,7.512E-01,8.706E-01,1,Adenylate cyclase type V,
946,"Nicotine signaling in dopaminergic neurons, Pt. 1 - cell body",48,7.512E-01,8.706E-01,7.512E-01,8.706E-01,1,nAChR alpha-4,
947,GLP-1 in beta cell apoptosis in type 2 diabetes,48,7.512E-01,8.706E-01,7.512E-01,8.706E-01,1,Bcl-2,
948,Bile Acid Biosynthesis,94,7.533E-01,8.706E-01,7.533E-01,8.706E-01,2,"AKR1C4, ACOX2",
949,Development_Melanocyte development and pigmentation,49,7.583E-01,8.706E-01,7.583E-01,8.706E-01,1,PAX3,
950,Activation of TNF-alpha-dependent pro-tumoral effect in colorectal cancer,49,7.583E-01,8.706E-01,7.583E-01,8.706E-01,1,p38 MAPK,
951,Role and regulation of Prostaglandin E2 in gastric cancer,49,7.583E-01,8.706E-01,7.583E-01,8.706E-01,1,Adenylate cyclase,
952,Breakdown of CD4+ T cell peripheral tolerance in type 1 diabetes mellitus,49,7.583E-01,8.706E-01,7.583E-01,8.706E-01,1,MHC class II,
953,Demyelination in multiple sclerosis,49,7.583E-01,8.706E-01,7.583E-01,8.706E-01,1,p38 MAPK,
954,Axonal degeneration in multiple sclerosis,49,7.583E-01,8.706E-01,7.583E-01,8.706E-01,1,CACNA1D,
955,Cytoskeleton remodeling_Integrin outside-in signaling,49,7.583E-01,8.706E-01,7.583E-01,8.706E-01,1,Collagen II,
956,Tissue Factor signaling in cancer via PAR1 and PAR2,49,7.583E-01,8.706E-01,7.583E-01,8.706E-01,1,Coagulation factor VII,
957,Transcription_CREB signaling pathway,49,7.583E-01,8.706E-01,7.583E-01,8.706E-01,1,p38 MAPK,
958,Development_PEDF signaling,49,7.583E-01,8.706E-01,7.583E-01,8.706E-01,1,Bcl-2,
959,Immune response_Production and main functions of biologically active leukotrienes and Lipoxin A4,50,7.652E-01,8.706E-01,7.652E-01,8.706E-01,1,ABCC11,
960,Suppression of p53 signaling in multiple myeloma,50,7.652E-01,8.706E-01,7.652E-01,8.706E-01,1,Bcl-2,
961,TGF-beta signaling via microRNA in breast cancer,50,7.652E-01,8.706E-01,7.652E-01,8.706E-01,1,Bcl-2,
962,Immune response_Lectin induced complement pathway,50,7.652E-01,8.706E-01,7.652E-01,8.706E-01,1,Clusterin,
963,Pro-inflammatory action of Gastrin in gastric cancer,50,7.652E-01,8.706E-01,7.652E-01,8.706E-01,1,p38alpha (MAPK14),
964,Immune response_Function of MEF2 in T lymphocytes,50,7.652E-01,8.706E-01,7.652E-01,8.706E-01,1,p38alpha (MAPK14),
965,VEGF signaling in multiple myeloma,50,7.652E-01,8.706E-01,7.652E-01,8.706E-01,1,STAT3,
966,L-Threonine metabolism,50,7.652E-01,8.706E-01,7.652E-01,8.706E-01,1,SLC7A8,
967,IgE- and MGF-induced Lyn-mediated production of cytokines and arachidonic acid metabolites in lung mast cells in asthma,50,7.652E-01,8.706E-01,7.652E-01,8.706E-01,1,p38 MAPK,
968,HBV-dependent NF-kB and PI3K/AKT pathways leading to HCC,50,7.652E-01,8.706E-01,7.652E-01,8.706E-01,1,Androgen receptor,
969,Immune response_IL-13 signaling via PI3K-ERK pathway,50,7.652E-01,8.706E-01,7.652E-01,8.706E-01,1,Mucin 5AC,
970,Immune response_TCR alpha/beta signaling pathway,97,7.686E-01,8.706E-01,7.686E-01,8.706E-01,2,"p38alpha (MAPK14), MHC class II",
971,Cortisone biosynthesis and metabolism,51,7.719E-01,8.706E-01,7.719E-01,8.706E-01,1,AKR1C4,
972,Neurophysiological process_GABAergic neurotransmission,51,7.719E-01,8.706E-01,7.719E-01,8.706E-01,1,GABT,
973,HIF-1 in gastric cancer,51,7.719E-01,8.706E-01,7.719E-01,8.706E-01,1,Bcl-2,
974,PI3K signaling in gastric cancer,51,7.719E-01,8.706E-01,7.719E-01,8.706E-01,1,IL8RB,
975,Immune response_IFN-gamma signaling via MAPK,51,7.719E-01,8.706E-01,7.719E-01,8.706E-01,1,p38 MAPK,
976,Immune response_BAFF-induced signaling,51,7.719E-01,8.706E-01,7.719E-01,8.706E-01,1,p38 MAPK,
977,Inhibition of Calcitriol/ VDR signaling in colorectal cancer,51,7.719E-01,8.706E-01,7.719E-01,8.706E-01,1,Cystatin D,
978,Immune response_NF-AT in immune response,51,7.719E-01,8.706E-01,7.719E-01,8.706E-01,1,MHC class II,
979,Development_TGF-beta receptor signaling,52,7.785E-01,8.708E-01,7.785E-01,8.708E-01,1,p38 MAPK,
980,Signal transduction_Additional pathways of NF-kB activation (in the cytoplasm),52,7.785E-01,8.708E-01,7.785E-01,8.708E-01,1,Adenylate cyclase,
981,G-protein signaling_Proinsulin C-peptide signaling,52,7.785E-01,8.708E-01,7.785E-01,8.708E-01,1,Bcl-2,
982,CoA biosynthesis,52,7.785E-01,8.708E-01,7.785E-01,8.708E-01,1,ENPP1,
983,Signal transduction_Activation of PKC via G-Protein coupled receptor,52,7.785E-01,8.708E-01,7.785E-01,8.708E-01,1,MLCK,
984,Glucagon-induced glucose upregulation in type 2 diabetes in liver ,52,7.785E-01,8.708E-01,7.785E-01,8.708E-01,1,Adenylate cyclase,
985,Neurophysiological process_Synaptic vesicle fusion and recycling in nerve terminals,52,7.785E-01,8.708E-01,7.785E-01,8.708E-01,1,Amphiphysin I,
986,Alcohol metabolism predisposition of HCC development,52,7.785E-01,8.708E-01,7.785E-01,8.708E-01,1,ADH7,
987,Apoptosis and survival_Role of PKR in stress-induced apoptosis,53,7.848E-01,8.717E-01,7.848E-01,8.717E-01,1,PP2A regulatory,
988,Immune response_Classical complement pathway,53,7.848E-01,8.717E-01,7.848E-01,8.717E-01,1,Clusterin,
989,ENaC regulation in normal and CF airways ,53,7.848E-01,8.717E-01,7.848E-01,8.717E-01,1,Adenylate cyclase,
990,Regulation of VEGF expression in lung cancer,53,7.848E-01,8.717E-01,7.848E-01,8.717E-01,1,STAT3,
991,TLRs-mediated IFN-alpha production by plasmacytoid dendritic cells in SLE,53,7.848E-01,8.717E-01,7.848E-01,8.717E-01,1,CAMP,
992,Immune response_Induction of the antigen presentation machinery by IFN-gamma,53,7.848E-01,8.717E-01,7.848E-01,8.717E-01,1,MHC class II,
993,Immune response_Antiviral actions of Interferons,53,7.848E-01,8.717E-01,7.848E-01,8.717E-01,1,MHC class II,
994,Immune response_IFN-gamma signaling via JAK/STAT and PLC-gamma,54,7.910E-01,8.729E-01,7.910E-01,8.729E-01,1,STAT3,
995,Androstenedione and testosterone biosynthesis and metabolism p.1,54,7.910E-01,8.729E-01,7.910E-01,8.729E-01,1,HSD17B1,
996,Blood coagulation_GPVI-dependent platelet activation,54,7.910E-01,8.729E-01,7.910E-01,8.729E-01,1,Glycoprotein VI,
997,Ganglioside Metabolism p1,54,7.910E-01,8.729E-01,7.910E-01,8.729E-01,1,GM3 synthase,
998,Translation_Regulation of EIF4F activity,54,7.910E-01,8.729E-01,7.910E-01,8.729E-01,1,p38 MAPK,
999,NRF2 regulation of oxidative stress response,54,7.910E-01,8.729E-01,7.910E-01,8.729E-01,1,GSTA3,
1000,Heme metabolism,103,7.968E-01,8.729E-01,7.968E-01,8.729E-01,2,"UGT2B28, UGT2B17",
1001,Chemotaxis_CCL2-induced chemotaxis,55,7.970E-01,8.729E-01,7.970E-01,8.729E-01,1,p38 MAPK,
1002,Aberrant B-Raf signaling in melanoma progression,55,7.970E-01,8.729E-01,7.970E-01,8.729E-01,1,Bcl-2,
1003,Immune response_IL-16 signaling pathway,55,7.970E-01,8.729E-01,7.970E-01,8.729E-01,1,CCR5,
1004,Immune response_CD28 signaling,55,7.970E-01,8.729E-01,7.970E-01,8.729E-01,1,p38 MAPK,
1005,Immune response_Role of DAP12 receptors in NK cells,55,7.970E-01,8.729E-01,7.970E-01,8.729E-01,1,KIR2DL4,
1006,Oxidative stress_Role of ASK1 under oxidative stress,55,7.970E-01,8.729E-01,7.970E-01,8.729E-01,1,p38 MAPK,
1007,Immune response_Immunological synapse formation,55,7.970E-01,8.729E-01,7.970E-01,8.729E-01,1,MHC class II,
1008,Role of FSH and Lutropin in ovarian cancer,56,8.028E-01,8.751E-01,8.028E-01,8.751E-01,1,Adenylate cyclase,
1009,Muscle contraction_ACM regulation of smooth muscle contraction,56,8.028E-01,8.751E-01,8.028E-01,8.751E-01,1,MLCK,
1010,Muscle contraction_Regulation of eNOS activity in cardiomyocytes,56,8.028E-01,8.751E-01,8.028E-01,8.751E-01,1,Adenylate cyclase type V,
1011,Cytoskeleton remodeling_FAK signaling,57,8.084E-01,8.751E-01,8.084E-01,8.751E-01,1,GRP-R,
1012,Proinflammatory mediators release and arachidonic acid metabolites production in basophils in asthma,57,8.084E-01,8.751E-01,8.084E-01,8.751E-01,1,p38 MAPK,
1013,Ca(2+)-dependent NF-AT signaling in cardiac hypertrophy,57,8.084E-01,8.751E-01,8.084E-01,8.751E-01,1,Adenylate cyclase type V,
1014,Development_Non-genomic action of Retinoic acid in cell differentiation,57,8.084E-01,8.751E-01,8.084E-01,8.751E-01,1,Rb protein,
1015,Immune response_Role of PKR in stress-induced antiviral cell response,57,8.084E-01,8.751E-01,8.084E-01,8.751E-01,1,p38alpha (MAPK14),
1016,Gamma-Secretase regulation of neuronal cell development and function,57,8.084E-01,8.751E-01,8.084E-01,8.751E-01,1,Tau (MAPT),
1017,Prostaglandin 1 biosynthesis and metabolism,57,8.084E-01,8.751E-01,8.084E-01,8.751E-01,1,ALOX15B,
1018,CCR7 signaling pathways in dendritic cells in allergic contact dermatitis,57,8.084E-01,8.751E-01,8.084E-01,8.751E-01,1,p38 MAPK,
1019,Signal transduction_Angiotensin II signaling via Beta-arrestin,57,8.084E-01,8.751E-01,8.084E-01,8.751E-01,1,MLCK,
1020,Cell adhesion_Integrin inside-out signaling,58,8.139E-01,8.752E-01,8.139E-01,8.752E-01,1,Collagen II,
1021,Aberrant production of IL-2 and IL-17 in SLE T cells,58,8.139E-01,8.752E-01,8.139E-01,8.752E-01,1,MHC class II,
1022,Immune response_IL-33 signaling pathway,58,8.139E-01,8.752E-01,8.139E-01,8.752E-01,1,p38alpha (MAPK14),
1023,Effect of H. pylori infection on gastric epithelial cell proliferation,58,8.139E-01,8.752E-01,8.139E-01,8.752E-01,1,p38alpha (MAPK14),
1024,Oxidative stress_ROS-induced cellular signaling,108,8.179E-01,8.752E-01,8.179E-01,8.752E-01,2,"p38alpha (MAPK14), p38 MAPK",
1025,Regulation of lipid metabolism_G-alpha(q) regulation of lipid metabolism,59,8.192E-01,8.752E-01,8.192E-01,8.752E-01,1,ABCG1,
1026,Neurophysiological process_Constitutive and activity-dependent synaptic AMPA receptor delivery,59,8.192E-01,8.752E-01,8.192E-01,8.752E-01,1,Chapsyn-110,
1027,Signal transduction_Production and main functions of biologically active prostaglandins and Thromboxane A2,59,8.192E-01,8.752E-01,8.192E-01,8.752E-01,1,PGE2R3,
1028,A shift from oxidative to glycolytic muscle fiber phenotype in quadriceps muscles in COPD,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,Fatty acid-binding protein,
1029,EGFR signaling pathway in colorectal cancer,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,Amphiregulin,
1030,Immune response_ICOS signaling pathway in T-helper cell,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,MHC class II,
1031,Oxidative stress_Role of Sirtuin1 and PGC1-alpha in activation of antioxidant defense system,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,GSTM5,
1032,Immune response_LTBR1 signaling,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,Adenylate cyclase,
1033,Neutrophil resistance to apoptosis in COPD and proresolving impact of lipid mediators,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,p38 MAPK,
1034,Aberrant lipid trafficking and metabolism in age-related macular degeneration pathogenesis,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,Clusterin,
1035,Stimulation of gastric acid secretion in gastric cancer,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,Adenylate cyclase,
1036,Antioxidant effects of statins in COPD,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,RhoB,
1037,Triacylglycerol metabolism p.1,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,AKR1C4,
1038,Transcription_Effect of Folic acid on genome stability,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,FR-beta,
1039,Immune response_TREM1 signaling pathway,60,8.244E-01,8.752E-01,8.244E-01,8.752E-01,1,TREM1,
1040,Immune response_B cell antigen receptor (BCR) pathway,110,8.257E-01,8.758E-01,8.257E-01,8.758E-01,2,"Rb protein, p38 MAPK",
1041,Development_c-Kit ligand signaling pathway during hemopoiesis,61,8.294E-01,8.772E-01,8.294E-01,8.772E-01,1,STAT3,
1042,Effect of H. pylori infection on inflammation in gastric epithelial cells,61,8.294E-01,8.772E-01,8.294E-01,8.772E-01,1,p38alpha (MAPK14),
1043,Induction of mucin secretion in  airway goblet cells by purinergic receptors,61,8.294E-01,8.772E-01,8.294E-01,8.772E-01,1,PP2A regulatory,
1044,Aminoglycoside- and cisplatin-induced hair cell death,112,8.333E-01,8.773E-01,8.333E-01,8.773E-01,2,"p38 MAPK, Bcl-2",
1045,Development_Negative regulation of STK3/4 (Hippo) pathway and positive regulation of YAP/TAZ function,62,8.343E-01,8.773E-01,8.343E-01,8.773E-01,1,YAP1 (YAp65),
1046,Renin-Angiotensin-Aldosterone System,62,8.343E-01,8.773E-01,8.343E-01,8.773E-01,1,p38alpha (MAPK14),
1047,Regulation of microRNAs in colorectal cancer,62,8.343E-01,8.773E-01,8.343E-01,8.773E-01,1,STAT3,
1048,Development_WNT/Beta-catenin signaling in the nucleus,62,8.343E-01,8.773E-01,8.343E-01,8.773E-01,1,p38 MAPK,
1049,Development_Alpha-2 adrenergic receptor activation of ERK,62,8.343E-01,8.773E-01,8.343E-01,8.773E-01,1,Alpha-2A adrenergic receptor,
1050,Propionate metabolism p.2,63,8.391E-01,8.806E-01,8.391E-01,8.806E-01,1,GABT,
1051,Vascular endothelial cell damage in SLE,63,8.391E-01,8.806E-01,8.391E-01,8.806E-01,1,p38 MAPK,
1052,CHDI_Correlations from Replication data_Cytoskeleton and adhesion module,64,8.437E-01,8.812E-01,8.437E-01,8.812E-01,1,MHC class II,
1053,TGF-beta-induced fibroblast/ myofibroblast migration and extracellular matrix production in asthmatic airways,64,8.437E-01,8.812E-01,8.437E-01,8.812E-01,1,p38 MAPK,
1054,Plasmalogen biosynthesis,64,8.437E-01,8.812E-01,8.437E-01,8.812E-01,1,PLA2,
1055,Development_Positive regulation of WNT/Beta-catenin signaling at the receptor level,64,8.437E-01,8.812E-01,8.437E-01,8.812E-01,1,p38alpha (MAPK14),
1056,Polyamine metabolism,64,8.437E-01,8.812E-01,8.437E-01,8.812E-01,1,ABP1,
1057,Signal transduction_mTORC2 upstream signaling,65,8.482E-01,8.834E-01,8.482E-01,8.834E-01,1,DEPTOR,
1058,Unsaturated fatty acid biosynthesis,65,8.482E-01,8.834E-01,8.482E-01,8.834E-01,1,ELOVL2,
1059,Signal transduction_PDGF signaling via MAPK cascades,65,8.482E-01,8.834E-01,8.482E-01,8.834E-01,1,p38 MAPK,
1060,Pyruvate metabolism,66,8.525E-01,8.846E-01,8.525E-01,8.846E-01,1,LDHD,
1061,Canonical WNT signaling pathway in colorectal cancer,66,8.525E-01,8.846E-01,8.525E-01,8.846E-01,1,Mucin 2,
1062,Immune response_T regulatory cell-mediated modulation of antigen-presenting cell functions,66,8.525E-01,8.846E-01,8.525E-01,8.846E-01,1,MHC class II,
1063,Metabolism in pancreatic cancer cells,66,8.525E-01,8.846E-01,8.525E-01,8.846E-01,1,DHE4,
1064,"Metabolism of L-cysteine, D-cysteine and L-cystine",119,8.575E-01,8.890E-01,8.575E-01,8.890E-01,2,"SLC7A8, SLC1A2/EAAT2",
1065,Immune response_Sublytic effects of membrane attack complex,68,8.609E-01,8.891E-01,8.609E-01,8.891E-01,1,p38 MAPK,
1066,Immune response_Gastrin in inflammatory response,68,8.609E-01,8.891E-01,8.609E-01,8.891E-01,1,p38alpha (MAPK14),
1067,Eosinophil adhesion and transendothelial migration in asthma,68,8.609E-01,8.891E-01,8.609E-01,8.891E-01,1,p38 MAPK,
1068,Lipoprotein metabolism,68,8.609E-01,8.891E-01,8.609E-01,8.891E-01,1,ABCG1,
1069,Immune response_CD16 signaling in NK cells,69,8.648E-01,8.899E-01,8.648E-01,8.899E-01,1,PLA2,
1070,Transcription_Negative regulation of HIF1A function,69,8.648E-01,8.899E-01,8.648E-01,8.899E-01,1,MTG16 (CBFA2T3),
1071,Immune response_OX40L/ OX40 signaling pathway,69,8.648E-01,8.899E-01,8.648E-01,8.899E-01,1,Bcl-2,
1072,Development_Positive regulation of WNT/Beta-catenin signaling in the nucleus,69,8.648E-01,8.899E-01,8.648E-01,8.899E-01,1,YAP1 (YAp65),
1073,Signal transduction_PDGF signaling via PI3K/AKT and NFkB pathways,70,8.687E-01,8.922E-01,8.687E-01,8.922E-01,1,YB-1,
1074,Mechanisms of drug resistance in SCLC,70,8.687E-01,8.922E-01,8.687E-01,8.922E-01,1,Bcl-2,
1075,Transport_Clathrin-coated vesicle cycle,71,8.725E-01,8.952E-01,8.725E-01,8.952E-01,1,Myosin I,
1076,Mitochondrial beta-oxidation of long-chain saturated fatty acids,125,8.757E-01,8.965E-01,8.757E-01,8.965E-01,2,"A-FABP, B-FABP",
1077,Regulation of lipid metabolism_Stimulation of Arachidonic acid production by ACM receptors,72,8.761E-01,8.965E-01,8.761E-01,8.965E-01,1,p38 MAPK,
1078,Neolacto-series GSL Metabolism p.1,72,8.761E-01,8.965E-01,8.761E-01,8.965E-01,1,FUT6,
1079,Immune response_Distinct metabolic pathways in naive and effector CD8+ T cells,74,8.831E-01,8.995E-01,8.831E-01,8.995E-01,1,DHE4,
1080,Metabolism of L-Proline and derivatives,74,8.831E-01,8.995E-01,8.831E-01,8.995E-01,1,CRYM,
1081,Arachidonic acid production,74,8.831E-01,8.995E-01,8.831E-01,8.995E-01,1,PLA2G2D,
1082,Peroxysomal straight-chain fatty acid beta-oxidation,74,8.831E-01,8.995E-01,8.831E-01,8.995E-01,1,ACOX2,
1083,Ubiquinone metabolism,74,8.831E-01,8.995E-01,8.831E-01,8.995E-01,1,TAT,
1084,Development_Positive regulation of WNT/Beta-catenin signaling in the cytoplasm,76,8.898E-01,9.053E-01,8.898E-01,9.053E-01,1,YAP1 (YAp65),
1085,Role of activation of WNT signaling in the progression of lung cancer,77,8.929E-01,9.077E-01,8.929E-01,9.077E-01,1,p38 MAPK,
1086,Signal transduction_Angiotensin II/ AGTR1 signaling via RhoA and JNK,78,8.960E-01,9.100E-01,8.960E-01,9.100E-01,1,MLCK,
1087,Chemotaxis_SDF-1/ CXCR4-induced chemotaxis of immune cells,79,8.990E-01,9.122E-01,8.990E-01,9.122E-01,1,SFK,
1088,Vitamin E (alfa-tocopherol) metabolism,81,9.047E-01,9.172E-01,9.047E-01,9.172E-01,1,ACOX2,
1089,HETE and HPETE biosynthesis and metabolism,82,9.074E-01,9.191E-01,9.074E-01,9.191E-01,1,ALOX15B,
1090,Transport_Intracellular cholesterol transport,83,9.101E-01,9.201E-01,9.101E-01,9.201E-01,1,ABCG1,
1091,Cytoskeleton remodeling_PDGF signaling via calcium and Rho GTPases,83,9.101E-01,9.201E-01,9.101E-01,9.201E-01,1,EBP50,
1092,Peroxisomal branched chain fatty acid oxidation,84,9.127E-01,9.210E-01,9.127E-01,9.210E-01,1,ACOX2,
1093,SLE genetic marker-specific pathways in antigen-presenting cells (APC),84,9.127E-01,9.210E-01,9.127E-01,9.210E-01,1,Fc gamma RIII beta,
1094,Prostaglandin 2 biosynthesis and metabolism,86,9.176E-01,9.252E-01,9.176E-01,9.252E-01,1,LOXE3,
1095,Immune response_Fc epsilon RI pathway: Lyn-mediated cytokine production,87,9.200E-01,9.267E-01,9.200E-01,9.267E-01,1,p38 MAPK,
1096,Regulation of lipid metabolism_Insulin regulation of fatty acid metabolism,89,9.245E-01,9.296E-01,9.245E-01,9.296E-01,1,Perilipin,
1097,Immune response_The effect of IDO1 on T cell metabolism,89,9.245E-01,9.296E-01,9.245E-01,9.296E-01,1,DHE4,
1098,Glycolysis and gluconeogenesis,94,9.347E-01,9.390E-01,9.347E-01,9.390E-01,1,F16P,
1099,"Signal transduction_Angiotensin II/ AGTR1 signaling via p38, ERK and PI3K",98,9.419E-01,9.454E-01,9.419E-01,9.454E-01,1,p38 MAPK,
1100,Immune response_Antigen presentation by MHC class I: cross-presentation,99,9.436E-01,9.462E-01,9.436E-01,9.462E-01,1,CLEC12A,
1101,Immune response_IL-3 signaling via ERK and PI3K,102,9.483E-01,9.500E-01,9.483E-01,9.500E-01,1,Bcl-2,
1102,CTP/UTP metabolism,107,9.553E-01,9.562E-01,9.553E-01,9.562E-01,1,AID,
1103,Vitamin B3 and NAD+ metabolism,125,9.736E-01,9.736E-01,9.736E-01,9.736E-01,1,ENPP1,
,,,,,,,,,
