Enrichment analysis report,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_070120_genelist,,,,
#,Maps,Total,pValue,Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",
275,Arachidonic acid metabolites production in eosinophils in asthma,44,1.531E-03,7.833E-03,1.531E-03,7.833E-03,11,"COX-2 (PTGS2), PKC, alpha-4/beta-1 integrin, ICAM1, PGD2R, cPLA2, G-protein alpha-i family, GM-CSF, PA24A, Eotaxin, Fibronectin",
276,"Immune response_IL-3 signaling via JAK/STAT, p38, JNK and NF-kB",93,1.578E-03,8.044E-03,1.578E-03,8.044E-03,18,"CD69, ITGB1, STAT5A, MHC class II, PI3K cat class IA, DHA2, ICAM1, Lyn, IL-6, NOTCH4, STAT5, AKT(PKB), Fibronectin, c-Src, P-selectin, IL-2R alpha chain, Pim-1, BMP2",
277,Hypothetical role of microRNAs in fibrosis development after myocardial infarction,26,1.595E-03,8.071E-03,1.595E-03,8.071E-03,8,"Fibrillin 1, PI3K cat class IA, TGF-beta receptor type II, MMP-2, COL1A2, CTGF, AKT(PKB), Collagen III",
278,Muscle contraction_Delta-type opioid receptor in smooth muscle contraction,26,1.595E-03,8.071E-03,1.595E-03,8.071E-03,8,"Metenkefalin, G-protein alpha-i family, MRLC, MYRL2, Myosin II, CPI-17, Leu-enkephalin, PI3K reg class IB (p101)",
279,Role of type 2 innate lymphoid cells in airway allergic inflammation and tissue repair,38,1.634E-03,8.152E-03,1.634E-03,8.152E-03,10,"IL7RA, ETS1, EGFR, IL-33, STAT5, CRLF2, TSLP, IL-2R alpha chain, PI3K cat class IA (p110-delta), TSLPR",
280,TNF-alpha-induced inflammatory signaling in normal and asthmatic airway epithelium,38,1.634E-03,8.152E-03,1.634E-03,8.152E-03,10,"GRO-1, IP10, ICAM1, CCL2, IL-8, GM-CSF, IL-6, Eotaxin, TSLP, TNF-alpha",
281,Development_Oligodendrocyte differentiation (general schema),38,1.634E-03,8.152E-03,1.634E-03,8.152E-03,10,"SOX10, Myelin basic protein, BMP4, EGFR, OLIG2, FGF2, TGF-alpha, PDGF-R-alpha, BMP2, EDNRA",
282,Role of type 2 innate lymphoid cells in asthma,38,1.634E-03,8.152E-03,1.634E-03,8.152E-03,10,"FPRL1, IL7RA, ETS1, IL-33, STAT5, CRLF2, TSLP, IL-2R alpha chain, PI3K cat class IA (p110-delta), TSLPR",
283,Cytoskeleton remodeling_Fibronectin-binding integrins in cell motility,32,1.671E-03,8.274E-03,1.671E-03,8.274E-03,9,"PI3K cat class IA, alpha-5/beta-1 integrin, Actin cytoskeletal, Fyn, Caveolin-1, ITGA5, Fibronectin, c-Src, Cofilin",
284,"Development_Role of Ceramide 1-phosphate, Sphingosine 1-phosphate and Complement cascade in hematopoietic stem cell homing",32,1.671E-03,8.274E-03,1.671E-03,8.274E-03,9,"COX-2 (PTGS2), PGE2R2, S1P1 receptor, VCAM1, alpha-4/beta-1 integrin, iC3b, AKT(PKB), C3a, MMP-9",
285,Development_Signaling pathways in embryonic hepatocyte maturation,51,1.676E-03,8.274E-03,1.676E-03,8.274E-03,12,"HGF, PI3K cat class IA, APOA2, Transferrin, RBP4, FasR(CD95), APOC2, OSMR, AKT(PKB), HGF receptor (Met), HNF4-alpha, HNF3-beta",
286,Blood coagulation_Platelet microparticle generation,72,1.767E-03,8.691E-03,1.767E-03,8.691E-03,15,"IL-1 beta, ITGB1, cPKC (conventional), PKC, MSN (moesin), cPLA2, Actin cytoskeletal, PAR1, PLA2G7, TRPC6, Tissue factor, Fibronectin, MyHC, MYLK1, P-selectin",
287,Neurophysiological process_Constitutive and regulated NMDA receptor trafficking,65,1.781E-03,8.701E-03,1.781E-03,8.701E-03,14,"Neuroligin 1, PACAP receptor 1, cPKC (conventional), PKC, NR2, PACAP, G-protein alpha-i family, Adenylate cyclase, Fyn, KIF17, DARPP-32, STEP, c-Src, NR2A",
288,Dysregulation of germinal center response in SLE,65,1.781E-03,8.701E-03,1.781E-03,8.701E-03,14,"IL-15, MFGE8, IL-15RA, VCAM1, alpha-4/beta-1 integrin, ICAM1, IFN-alpha, BOB1, FasR(CD95), TLR7, FasL(TNFSF6), C3dg, CD21, PI3K cat class IA (p110-delta)",
289,Cell adhesion_Histamine H1 receptor signaling in the interruption of cell barrier integrity,45,1.863E-03,9.008E-03,1.863E-03,9.008E-03,11,"Histamine H1 receptor, PKC-alpha, MRLC, Myosin II, Actin cytoskeletal, CPI-17, G-protein alpha-q/11, MELC, c-Src, MLCK, Cofilin",
290,Role of cell adhesion molecules in progression of pancreatic cancer,45,1.863E-03,9.008E-03,1.863E-03,9.008E-03,11,"IL-1 beta, ITGB1, iNOS, NCAM1, Tcf(Lef), alpha-5/beta-1 integrin, Collagen IV, ITGA5, Fibronectin, c-Src, SIAT8B",
291,Role of DNA methylation in progression of multiple myeloma,45,1.863E-03,9.008E-03,1.863E-03,9.008E-03,11,"p14ARF, DKK3, SFRP2, WNT, p15, IL-6, SFRP1, p16INK4, SFRP5, Frizzled, CDK6",
292,Androgen receptor activation and downstream signaling in Prostate cancer,110,1.977E-03,9.526E-03,1.977E-03,9.526E-03,20,"N-cadherin, B-Raf, STEAP1, IL-8, EGFR, FGF1, Versican, IL-6, Matrilysin (MMP-7), SGK1, FGF2, PAR1, AKT(PKB), Caveolin-1, FGF8, SPRY2, ER81, c-Src, TLR2, IBP3",
293,IGF signaling in HCC,52,2.002E-03,9.614E-03,2.002E-03,9.614E-03,12,"HGF, PI3K cat class IA, PKC, IRS-2, EGFR, MMP-2, TGF-alpha, AKT(PKB), HGF receptor (Met), Jagged1, MMP-9, IBP3",
294,Development_BMP7 in brown adipocyte differentiation,39,2.021E-03,9.641E-03,2.021E-03,9.641E-03,10,"CIDE-A, OTOP1, WNT10A, PPARGC1 (PGC1-alpha), Angiotensinogen, COL5A1, Annexin I, PSAT, EDNRA, Necdin",
295,Role of iNKT and B cells in T cell recruitment in allergic contact dermatitis,39,2.021E-03,9.641E-03,2.021E-03,9.641E-03,10,"VCAM1, IP10, alpha-4/beta-1 integrin, ICAM1, CD3, CD1d, T-bet, CD5, CD21, TNF-alpha",
296,Mast cell migration in asthma,73,2.041E-03,9.701E-03,2.041E-03,9.701E-03,15,"TGF-beta 2, IP10, CD44, CCL2, I-TAC, IL-8, TGF-beta receptor type II, G-protein alpha-i family, alpha-5/beta-1 integrin, FGF2, Eotaxin, PDGF receptor, Fibronectin, C3a, PI3K reg class IB (p101)",
297,Reactive oxygen and nitrogen species production in eosinophils in asthma,59,2.067E-03,9.794E-03,2.067E-03,9.794E-03,13,"Histamine H1 receptor, ITGB1, PI3K cat class IA, VCAM1, iNOS, Eotaxin-2, ITGA4, ITGB2, ICAM1, GM-CSF, IL-33, Eotaxin, C3a",
298,"IGF family, invasion and metastasis in colorectal cancer",33,2.115E-03,9.952E-03,2.115E-03,9.952E-03,9,"ITGB1, PI3K cat class IA, PLAT (TPA), PLAUR (uPAR), alpha-1/beta-1 integrin, Collagen IV, IBP6, Fibronectin, PLAU (UPA)",
299,Role of GSK3 beta in cardioprotection against myocardial infarction,33,2.115E-03,9.952E-03,2.115E-03,9.952E-03,9,"PI3K cat class IA, CRLR, Metenkefalin, RAMP2, EGFR, Enkephalin A, MMP-8, AKT(PKB), Plasma kallikrein",
300,Regulation of GSK3 beta in bipolar disorder,46,2.251E-03,1.052E-02,2.251E-03,1.052E-02,11,"IL-1 beta, NGF, TrkA, WNT, FGF2, AKT(PKB), TrkB, Nucleoredoxin, Axin, Frizzled, NT-3",
301,High shear stress-induced platelet activation,46,2.251E-03,1.052E-02,2.251E-03,1.052E-02,11,"UFO, ITGB3, G-protein alpha-i family, Actin cytoskeletal, PAR1, Ephrin-B receptor 1, AKT(PKB), Fibronectin, Collagen VI, P-selectin, Collagen III",
302,Immune response_M-CSF-receptor signaling pathway,81,2.259E-03,1.053E-02,2.259E-03,1.053E-02,16,"Syk, STAT5A, PI3K cat class IA, PKC, Tcf(Lef), ETS1, IL-34, Fyn, Rac2, AKT(PKB), CSF1, GRAP2, GAB3, c-Src, TSAD, PLAU (UPA)",
303,IL-6 signaling in breast cancer cells,53,2.378E-03,1.101E-02,2.378E-03,1.101E-02,12,"N-cadherin, PI3K cat class IA, IP10, Fascin, IL-6, S100A7, TWIST1, AKT(PKB), Jagged1, Vimentin, Carbonic anhydrase IX, MDR1",
304,EGFR signaling pathway in lung cancer,53,2.378E-03,1.101E-02,2.378E-03,1.101E-02,12,"HGF, COX-2 (PTGS2), PI3K cat class IA, EGFR, IL-6, STAT5, TGF-alpha, AKT(PKB), HGF receptor (Met), c-Src, MMP-9, Carbonic anhydrase IX",
305,Pro-oncogenic action of Estradiol/ Estrogen receptors in ovarian cancer,60,2.424E-03,1.118E-02,2.424E-03,1.118E-02,13,"BETA-IG-H3, MALL, PI3K cat class IA, CD44, Fra-1, Cyclin E, EGFR, AKT(PKB), Fibronectin, c-Src, MMP-9, PLAU (UPA), IBP3",
306,CAR-mediated direct regulation of xenobiotic metabolizing enzymes / Rodent version,40,2.480E-03,1.118E-02,2.480E-03,1.118E-02,10,"GSTP1, PPCKC, UGT1A1, CYP3A7, ADHG, CYP24A1, AL1A1, CYP7A1, MDR1, UGT1A6",
307,Apoptosis and survival_NGF activation of NF-kB,40,2.480E-03,1.118E-02,2.480E-03,1.118E-02,10,"GSTP1, NGF, NGFR(TNFRSF16), TrkA, PI3K cat class IA, iNOS, HES5, Synapsin II, AKT(PKB), c-Src",
308,CAR-mediated direct regulation of xenobiotic metabolizing enzymes / Human version,40,2.480E-03,1.118E-02,2.480E-03,1.118E-02,10,"GSTP1, PPCKC, UGT1A1, CYP3A7, ADHG, CYP24A1, AL1A1, CYP7A1, MDR1, UGT1A6",
309,CHDI_Correlations from Replication data_Causal network (negative correlations),40,2.480E-03,1.118E-02,2.480E-03,1.118E-02,10,"PKC, WNT, PLAUR (uPAR), AKT(PKB), Collagen IV, Fibronectin, Axin, PLAU (UPA), Frizzled, ACM3",
310,Stem cells_Pancreatic cancer stem cells in tumor metastasis,40,2.480E-03,1.118E-02,2.480E-03,1.118E-02,10,"G-protein alpha-i family, F-Actin cytoskeleton, MRLC, Myosin II, Fyn, MELC, MyHC, PI3K reg class IB (p101), c-Src, MLCK",
311,Development_Astrocyte differentiation from adult stem cells,40,2.480E-03,1.118E-02,2.480E-03,1.118E-02,10,"SOX1, CD44, BMP4, LIF, OLIG2, SMAD9 (SMAD8), Nestin, ID4, Vimentin, BMP2",
312,Cell adhesion_IL-8 family-dependent cell migration and adhesion,40,2.480E-03,1.118E-02,2.480E-03,1.118E-02,10,"GRO-2, GRO-1, GCP2, ITGB2, ICAM1, IL-8, G-protein alpha-i family, ENA-78, PI3K reg class IB (p101), GRO-3",
313,Transition of Monoclonal gammopathy of undetermined significance to active multiple myeloma (schema),22,2.520E-03,1.129E-02,2.520E-03,1.129E-02,7,"NCAM1, RANKL(TNFSF11), MMP-2, p15, Osteoprotegerin, p16INK4, MMP-9",
314,Development_Generation of pancreatic beta-cells from embryonic stem cells (late stages),22,2.520E-03,1.129E-02,2.520E-03,1.129E-02,7,"HGF, BMP4, PAX4, FGF2, NeuroD1, HNF3-beta, PAX6",
315,Development_Negative regulation of WNT/Beta-catenin signaling in the cytoplasm,82,2.576E-03,1.151E-02,2.576E-03,1.151E-02,16,"Prickle-1, PKC-alpha, NKD1, Tcf(Lef), WNT, RIPK4, TAZ, Nucleoredoxin, NKD2, A20, DACT3, Axin, Frizzled, YAP1/TAZ, DACT1, CDK6",
316,Nicotine / Beta-adrenergic signaling in lung cancer,34,2.648E-03,1.168E-02,2.648E-03,1.168E-02,9,"Beta-3 adrenergic receptor, PKC-alpha, G-protein alpha-i family, Adenylate cyclase, Beta-2 adrenergic receptor, AKT(PKB), Beta-adrenergic receptor, PI3K reg class IB (p101), c-Src",
317,Th2 cell migration in asthma,34,2.648E-03,1.168E-02,2.648E-03,1.168E-02,9,"VCAM1, alpha-4/beta-1 integrin, ICAM1, CD44, G-protein alpha-i family, Beta-2 adrenergic receptor, Eotaxin, PI3K reg class IB (p101), c-Src",
318,Proinflammatory cytokine release from eosinophils in asthma,34,2.648E-03,1.168E-02,2.648E-03,1.168E-02,9,"IL-1 beta, NGF, TrkA, IL-8, GM-CSF, LIF, IL-6, Eotaxin, TNF-alpha",
319,Role of IFN-beta in inhibition of Th1 cell differentiation in multiple sclerosis,34,2.648E-03,1.168E-02,2.648E-03,1.168E-02,9,"IL-18R1, MHC class II, PI3K cat class IA, IL-18, TLR4, PD-1, AKT(PKB), IFN-beta, PD-L1",
320,HGF signaling in pancreatic cancer,28,2.694E-03,1.185E-02,2.694E-03,1.185E-02,8,"HGF, PI3K cat class IA, Neuropilin-1, MMP-2, HGF receptor (Met), c-Src, MMP-9, PLAU (UPA)",
321,Th9 cells in asthma,47,2.703E-03,1.185E-02,2.703E-03,1.185E-02,11,"MHC class II, CRLR, Activin A, IL-33, STAT5, TGF-beta, OX40(TNFRSF4), Eotaxin, TSLP, CCL7, TSLPR",
322,T follicular helper cell dysfunction in SLE,90,2.756E-03,1.204E-02,2.756E-03,1.204E-02,17,"MHC class II, Osteopontin, PI3K cat class IA, PKC-theta, IFN-alpha, IL-6, PD-1, CTLA-4, Fyn, OX40(TNFRSF4), TLR7, AKT(PKB), ICOS, A20, IFN-beta, BLIMP1 (PRDI-BF1), CARD11",
323,Role of IL-23/ T17 pathogenic axis in psoriasis,54,2.811E-03,1.224E-02,2.811E-03,1.224E-02,12,"IL-15, IL-1 beta, MHC class II, IL-15RA, CCL20, IL23A, IL-8, IL-17F, IL-6, sIL-15RA, AKT(PKB), IL22RA1",
324,Role of tumor-infiltrating B cells in anti-tumor immunity,91,3.109E-03,1.350E-02,3.109E-03,1.350E-02,17,"IL-18R1, MHC class II, ADAM-TS9, IP10, IL-18, MAGEC1, CXorf61, CD38, I-TAC, IFN-alpha, T-bet, G-protein alpha-i family, FasR(CD95), FasL(TNFSF6), Apo-2L(TNFSF10), Perforin, BLIMP1 (PRDI-BF1)",
325,Neurophysiological process_ACM regulation of nerve impulse,48,3.224E-03,1.387E-02,3.224E-03,1.387E-02,11,"TRPC5, cPKC (conventional), TRPC3, PKC, PKC-alpha, P/Q-type calcium channel alpha-1A subunit, G-protein alpha-i family, ACM4, TRPC6, G-protein alpha-q/11, ACM3",
326,K-RAS signaling in lung cancer,48,3.224E-03,1.387E-02,3.224E-03,1.387E-02,11,"COX-2 (PTGS2), GRO-2, GRO-1, CCL2, EGFR, ENA-78, PA24A, FasL(TNFSF6), AKT(PKB), SPRY2, MMP-9",
327,Immune response_IL-12 signaling pathway,48,3.224E-03,1.387E-02,3.224E-03,1.387E-02,11,"STAT5A, PI3K cat class IA, iNOS, RUNX3, IL-18, STAT4, T-bet, STAT5, AKT(PKB), IL-12RB2, ERM",
328,Development_Transcriptional regulation of megakaryopoiesis,35,3.283E-03,1.400E-02,3.283E-03,1.400E-02,9,"NF-E2 (45 kDa), CD38, ETS, ETS1, LMO2, Fc gamma RII alpha, FLI1, Jagged1, PF4",
329,Immune response_Differentiation of natural regulatory T cells,35,3.283E-03,1.400E-02,3.283E-03,1.400E-02,9,"MHC class II, TGF-beta receptor type II, GITRL, STAT5, CTLA-4, OX40(TNFRSF4), TSLP, IL-2R alpha chain, TSLPR",
330,Immune response_TLR ligands,35,3.283E-03,1.400E-02,3.283E-03,1.400E-02,9,"TLR1, LBP, TLR10, TLR6, TLR4, MD-2, TLR7, Fibronectin, TLR2",
331,Role of alpha-V/ beta-6 integrin in colorectal cancer,23,3.342E-03,1.421E-02,3.342E-03,1.421E-02,7,"PKC, ETS1, MMP-2, Collagen IV, Fibronectin, MMP-9, PLAU (UPA)",
332,Role of Neuregulin 1 and Thymosin beta-4 in myocardium regeneration after infarction,29,3.429E-03,1.449E-02,3.429E-03,1.449E-02,8,"ITGB1, ACTA1, PI3K cat class IA, Angiopoietin 1, alpha-5/beta-1 integrin, AKT(PKB), ITGA5, Fibronectin",
333,Role of IFN-beta in activation of T cell apoptosis in multiple sclerosis,29,3.429E-03,1.449E-02,3.429E-03,1.449E-02,8,"c-IAP2, FasR(CD95), CTLA-4, 5'-NTD, FasL(TNFSF6), Apo-2L(TNFSF10), AKT(PKB), IFN-beta",
334,Inhibition of apoptosis in gastric cancer,42,3.645E-03,1.526E-02,3.645E-03,1.526E-02,10,"HGF, c-IAP2, Caspase-10, Gasdermin, RUNX3, TGF-beta receptor type II, Apo-2L(TNFSF10), AKT(PKB), HGF receptor (Met), XAF1",
335,Transcription targets of Androgen receptor involved in Prostate Cancer,42,3.645E-03,1.526E-02,3.645E-03,1.526E-02,10,"N-cadherin, IL-8, Versican, IL-6, Matrilysin (MMP-7), PAR1, FGF8, ER81, TLR2, IBP3",
336,"TNF-alpha, IL-1 beta induce dyslipidemia and inflammation in obesity and type 2 diabetes in adipocytes ",42,3.645E-03,1.526E-02,3.645E-03,1.526E-02,10,"COX-2 (PTGS2), IL-1 beta, PTX3, TNF-R2, iNOS, CCL2, CIDE-A, IL-6, HSD11B1, TNF-alpha",
337,Transport_Macropinocytosis regulation by growth factors,63,3.809E-03,1.582E-02,3.809E-03,1.582E-02,13,"HGF, NGF, TrkA, IRS-2, EGFR, Actin cytoskeletal, PDGF-R-alpha, AKT(PKB), CSF1, PDGF receptor, HGF receptor (Met), Cofilin, PDGF-R-beta",
338,Bacterial infections in CF airways,49,3.824E-03,1.582E-02,3.824E-03,1.582E-02,11,"TLR1, iNOS, IL-8, TLR4, GM-CSF, FasR(CD95), MD-2, Cathepsin S, IFN-beta, TLR2, TNF-alpha",
339,Role and regulation of Prostaglandin E2 in gastric cancer,49,3.824E-03,1.582E-02,3.824E-03,1.582E-02,11,"COX-2 (PTGS2), PGE2R2, IL-1 beta, CCL2, IL-8, EGFR, Adenylate cyclase, PLAUR (uPAR), Jagged1, PLAU (UPA), TLR2",
340,Signal transduction_IP3 signaling,49,3.824E-03,1.582E-02,3.824E-03,1.582E-02,11,"Syk, Galpha(q)-specific nucleotide-like GPCRs, PI3K cat class IA, ZAP70, CD3, MEF2, AKT(PKB), G-protein alpha-q/11, PDGF receptor, LAT, HGF receptor (Met)",
341,Immune response_IFN-gamma signaling via PI3K and NF-kB,56,3.865E-03,1.595E-02,3.865E-03,1.595E-02,12,"PI3K cat class IA, Alpha1-globin, iNOS, IP10, RUNX3, STAT5, Fyn, AKT(PKB), TLR3, HLA-B7, LPL, PD-L1",
342,Populations of skin dendritic cells involved in contact hypersensitivity,18,3.953E-03,1.626E-02,3.953E-03,1.626E-02,6,"MHC class II, Langerin, CD1d, LY75, CD83, EMR1",
343,Immune response_IL-6-induced acute-phase response in hepatocytes,36,4.031E-03,1.644E-02,4.031E-03,1.644E-02,9,"GRO-1, SAA1, SAA2, A2M, CRP, C3, IL-6, Angiotensinogen, IBP1",
344,Immune response_HMGB1/TLR signaling pathway,36,4.031E-03,1.644E-02,4.031E-03,1.644E-02,9,"IL-1 beta, IFN-alpha, IL-8, TLR4, IL-6, IRAK1/2, IFN-beta, TLR2, TNF-alpha",
345,CHDI_Correlations from Discovery data_Causal network (positive),36,4.031E-03,1.644E-02,4.031E-03,1.644E-02,9,"GABA-A receptor, IFN-alpha, MMP-2, alpha-5/beta-1 integrin, Actin cytoskeletal, Collagen IV, Actin, Ephrin-B receptors, Collagen III",
346,Development_Role of BMP signaling in embryonic stem cell neural differentiation,30,4.310E-03,1.743E-02,4.310E-03,1.743E-02,8,"NCAM1, IRX1, BMP4, MSX1, SMAD9 (SMAD8), Tubulin beta 2B, NeuroD1, BMP2",
347,Development_Transcription factors in segregation of hepatocytic lineage,30,4.310E-03,1.743E-02,4.310E-03,1.743E-02,8,"p14ARF, Activin A, A2M, TGF-beta receptor type II, Activin, HGF receptor (Met), p16INK4, HNF4-alpha",
348,Putative role of Tregs in COPD,30,4.310E-03,1.743E-02,4.310E-03,1.743E-02,8,"IL7RA, ZAP70, CD3, CD3 zeta, STAT5, CTLA-4, LAT, IL-2R alpha chain",
349,"Chemotaxis_CCL16-, CCL20-, CXCL16- and CCL25-mediated cell migration",43,4.370E-03,1.747E-02,4.370E-03,1.747E-02,10,"CCL20, MMP-13, G-protein alpha-i family, CCL25, MMP-2, MMP-8, AKT(PKB), PI3K reg class IB (p101), MMP-9, MLCK",
350,Effect of H. pylori infection on gastric epithelial cells motility,43,4.370E-03,1.747E-02,4.370E-03,1.747E-02,10,"ITGB1, PKC-alpha, Connexin 32, Lyn, alpha-5/beta-1 integrin, Actin cytoskeletal, c-Src, Claudin-1, Actin, PTPR-zeta",
351,Immune response_Substance P-stimulated expression of proinflammatory cytokines via MAPKs,43,4.370E-03,1.747E-02,4.370E-03,1.747E-02,10,"COX-2 (PTGS2), GRO-2, PKC-theta, CCL2, PKC-alpha, IL-8, IL-6, AKT(PKB), GRO-3, TNF-alpha",
352,Role of platelets in allograft rejection,43,4.370E-03,1.747E-02,4.370E-03,1.747E-02,10,"IL-1 beta, ICAM1, TGF-beta, PAR1, Tissue factor, PF4, P-selectin, Kainate receptor, TNF-alpha, Collagen III",
353,Ca(2+)-dependent NF-AT signaling in cardiac hypertrophy,57,4.501E-03,1.787E-02,4.501E-03,1.787E-02,12,"TRPC3, PKC-alpha, NCX1, G-protein alpha-i family, MEF2C, HAND1, MEF2, TRPC6, G-protein alpha-q/11, Angiotensin II, HAND2, Alpha-1B adrenergic receptor",
354,Development_Thromboxane A2 signaling pathway,50,4.509E-03,1.787E-02,4.509E-03,1.787E-02,11,"cPKC (conventional), PI3K cat class IA, B-Raf, PKC, Tcf(Lef), EGFR, G-protein alpha-i family, Adenylate cyclase, IL-6, AKT(PKB), c-Src",
355,The role of PTEN and PI3K signaling in melanoma,50,4.509E-03,1.787E-02,4.509E-03,1.787E-02,11,"N-cadherin, MCAM, PI3K cat class IA, B-Raf, AKT3, p15, alpha-5/beta-1 integrin, FasL(TNFSF6), TWIST1, AKT(PKB), Fibronectin",
356,Cell adhesion_Role of tetraspanins in the integrin-mediated cell adhesion,37,4.906E-03,1.917E-02,4.906E-03,1.917E-02,9,"ITGB1, alpha-4/beta-1 integrin, PKC-alpha, alpha-5/beta-1 integrin, Actin cytoskeletal, Fibronectin, c-Src, Actin, Cofilin",
357,Immune response_Generation of memory CD4+ T cells,37,4.906E-03,1.917E-02,4.906E-03,1.917E-02,9,"IL-15, MHC class II, IL-15RA, IL7RA, CD44, BFL1, STAT5, OX40(TNFRSF4), IL-2R alpha chain",
358,Development_Beta-adrenergic receptors transactivation of EGFR,37,4.906E-03,1.917E-02,4.906E-03,1.917E-02,9,"PI3K cat class IA, ADAM12, CD44, Beta-3 adrenergic receptor, EGFR, G-protein alpha-i family, Beta-2 adrenergic receptor, MYLK1, c-Src",
359,Immune response_Regulation of T cell function by CTLA-4,37,4.906E-03,1.917E-02,4.906E-03,1.917E-02,9,"PI3K cat class IA, ZAP70, CD3, Lyn, CD3 zeta, CTLA-4, Fyn, AKT(PKB), LAT",
360,Role of alveolar cell senescence in COPD,37,4.906E-03,1.917E-02,4.906E-03,1.917E-02,9,"IGFBP7, IL-8, Cyr61, IL-6, CTGF, AKT(PKB), Caveolin-1, p16INK4, IBP3",
361,Immune response_IL-13 signaling via JAK-STAT,44,5.206E-03,2.022E-02,5.206E-03,2.022E-02,10,"iNOS, SCCA-2, CCL2, Eotaxin-3, STAT5, MMP-8, COL1A2, Eotaxin, SCCA-1, UGRP2",
362,Cell adhesion_Integrin inside-out signaling,58,5.217E-03,2.022E-02,5.217E-03,2.022E-02,12,"ITGB1, ITGB2, ITGB3, G-protein alpha-i family, alpha-5/beta-1 integrin, Actin cytoskeletal, alpha-1/beta-1 integrin, PAR1, G-protein alpha-q/11, Angiotensin II, Fibronectin, c-Src",
363,Immune response_IL-33 signaling pathway,58,5.217E-03,2.022E-02,5.217E-03,2.022E-02,12,"PI3K cat class IA, VCAM1, GRO-1, ICAM1, CCL2, IL-8, IL-17F, GM-CSF, IL-33, IL-6, AKT(PKB), TNF-alpha",
364,Immune response_Histamine signaling in dendritic cells,51,5.288E-03,2.038E-02,5.288E-03,2.038E-02,11,"Histamine H1 receptor, IL-1 beta, CCL2, PKC-alpha, IL-8, G-protein alpha-i family, Adenylate cyclase, IL-6, G-protein alpha-q/11, Histamine H2 receptor, TNF-alpha",
365,Some pathways of EMT in cancer cells,51,5.288E-03,2.038E-02,5.288E-03,2.038E-02,11,"PI3K cat class IA, EGFR, PDGF-R-alpha, TWIST1, AKT(PKB), PDGF receptor, c-Src, Axin, EDNRA, PDGF-R-beta, TNF-alpha",
366,Neutrophil adhesion and transendothelial migration in asthma,31,5.356E-03,2.053E-02,5.356E-03,2.053E-02,8,"VCAM1, alpha-4/beta-1 integrin, ICAM1, alpha-9/beta-1 integrin, IL-8, cPLA2, P-selectin, TNF-alpha",
367,Development_Embryonal epaxial myogenesis,31,5.356E-03,2.053E-02,5.356E-03,2.053E-02,8,"PTCH1, WNT, BMP4, WNT11, GLI-1, Frizzled, WNT1, WNT6",
368,CHDI_Correlations from Discovery data_Causal network,73,5.463E-03,2.088E-02,5.463E-03,2.088E-02,14,"Syk, PI3K cat class IA, CCL2, Kir3.4, WNT, G-protein alpha-i family, p15, MEF2, PDGF-R-alpha, AKT(PKB), PI3K reg class IB (p101), c-Src, Axin, Frizzled",
369,Immune escape mechanisms in Prostate Cancer,25,5.581E-03,2.088E-02,5.581E-03,2.088E-02,7,"TAP1 (PSF1), CCL2, TLR4, TAP2 (PSF2), IL-6, TGF-beta, TAP",
370,Role of keratinocytes and Langerhans cells in skin sensitization,25,5.581E-03,2.088E-02,5.581E-03,2.088E-02,7,"IL-1 beta, TNF-R2, IL-18R1, MHC class II, IL-18, Caspase-1, TNF-alpha",
371,Generation of cytotoxic CD8+ T cells in COPD,25,5.581E-03,2.088E-02,5.581E-03,2.088E-02,7,"MHC class II, ICAM1, CTLA-4, CD137 ligand(TNFSF9), OX40(TNFRSF4), CD137(TNFRSF9), Perforin",
372,Immune response_T cell subsets: secreted signals,25,5.581E-03,2.088E-02,5.581E-03,2.088E-02,7,"CCL20, IL-1 alpha, IL-17F, GM-CSF, IL-6, TGF-beta, TNF-alpha",
373,Activation of pro-oncogenic TGF-beta potential in gastric cancer,25,5.581E-03,2.088E-02,5.581E-03,2.088E-02,7,"GSTP1, TGF-beta 2, TGF-beta receptor type II, MMP-2, Fibronectin, c-Src, MMP-9",
374,T cell generation in COPD,25,5.581E-03,2.088E-02,5.581E-03,2.088E-02,7,"MHC class II, CCL20, Langerin, ICAM1, CCL2, CTLA-4, CCL7",
375,Resolution of inflammation in healing myocardial infarction,25,5.581E-03,2.088E-02,5.581E-03,2.088E-02,7,"HGF, MMP-2, Angiopoietin 1, FGF2, AKT(PKB), HGF receptor (Met), MMP-9",
376,Dual role of BMP signaling in gastric cancer,25,5.581E-03,2.088E-02,5.581E-03,2.088E-02,7,"PI3K cat class IA, CDX2, BMP4, SMAD9 (SMAD8), AKT(PKB), LI-cadherin, BMP2",
377,Transcription_Role of AP-1 in regulation of cellular metabolism,38,5.922E-03,2.187E-02,5.922E-03,2.187E-02,9,"Alpha1-globin, CGB3, FasR(CD95), PLAUR (uPAR), FasL(TNFSF6), ITGA5, TSG-6, IFN-beta, Prolactin",
