Enrichment analysis report,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,untransformed_FC,,,,rna_untransformed_FC,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data"
194,Cytoskeleton remodeling_Regulation of actin cytoskeleton organization by the kinase effectors of Rho GTPases,58,5.64E-05,4.27E-04,5.64E-05,4.27E-04,16,"Actomyosin, PAK, Rac1-related, MSN (moesin), ERM proteins, F-Actin cytoskeleton, MRLC, RhoA-related, Myosin II, Caldesmon, Actin cytoskeletal, Rac2, CPI-17, RhoB, MyHC, MLCK",1.37E-02,4.85E-02,11,"PAK, Rac1-related, MSN (moesin), ERM proteins, MRLC, RhoA-related, Caldesmon, Rac2, CPI-17, RhoB, MLCK"
195,Main growth factor signaling cascades in multiple myeloma cells,41,5.73E-05,4.29E-04,5.73E-05,4.29E-04,13,"BAD, STAT3, PI3K cat class IA, PTEN, IRS-2, N-Ras, FGF2, SOS, NF-kB, ERK2 (MAPK1), AKT(PKB), PDK (PDPK1), ERK1 (MAPK3)",1.62E-01,2.85E-01,6,"PI3K cat class IA, IRS-2, FGF2, SOS, NF-kB, AKT(PKB)"
196,Pro-tumoral TNF-alpha signaling in melanoma,41,5.73E-05,4.29E-04,5.73E-05,4.29E-04,13,"ITGB1, TNF-R2, PI3K cat class IA, ITGA4, alpha-4/beta-1 integrin, IL-8, MMP-2, alpha-5/beta-1 integrin, NF-kB, AKT(PKB), PDK (PDPK1), Fibronectin, MMP-9",1.87E-04,2.08E-03,12,"ITGB1, TNF-R2, PI3K cat class IA, ITGA4, alpha-4/beta-1 integrin, IL-8, MMP-2, alpha-5/beta-1 integrin, NF-kB, AKT(PKB), Fibronectin, MMP-9"
197,WNT signaling in gastric cancer,36,6.35E-05,4.73E-04,6.35E-05,4.73E-04,12,"CD44, DKK3, Tcf(Lef), WNT7A, WNT, TCF7L2 (TCF4), WNT3, Beta-catenin, Matrilysin (MMP-7), SFRP1, Dsh, Frizzled",1.00E-03,6.49E-03,10,"CD44, DKK3, Tcf(Lef), WNT7A, WNT, TCF7L2 (TCF4), WNT3, Matrilysin (MMP-7), SFRP1, Frizzled"
198,Hypoxia-induced EMT in cancer and fibrosis,13,6.38E-05,4.73E-04,6.38E-05,4.73E-04,7,"Lysyl oxidase, ETS1, SLUG, LOXL2, SIP1 (ZFHX1B), SNAIL1, TCF8",5.30E-04,4.31E-03,6,"Lysyl oxidase, ETS1, SLUG, LOXL2, SIP1 (ZFHX1B), TCF8"
199,Mitogenic action of ESR1 (membrane) in breast cancer,47,6.50E-05,4.74E-04,6.50E-05,4.74E-04,14,"ESR1 (nuclear), Cyclin E, EGFR, ERK1/2, MMP-2, ErbB3, ESR1 (membrane), SGK1, SOS, ERK2 (MAPK1), AKT(PKB), PDK (PDPK1), p27KIP1, MMP-9",2.31E-02,6.90E-02,9,"ESR1 (nuclear), Cyclin E, EGFR, MMP-2, ESR1 (membrane), SGK1, SOS, AKT(PKB), MMP-9"
200,Canonical Leptin pathways in breast cancer,47,6.50E-05,4.74E-04,6.50E-05,4.74E-04,14,"STAT3, IL-1 beta, PI3K cat class IA, RelA (p65 NF-kB subunit), ESR1 (nuclear), IRS-2, Tcf(Lef), ERK1/2, CYP19, Beta-catenin, SOS, NF-kB, AKT(PKB), PDK (PDPK1)",8.21E-03,3.32E-02,10,"IL-1 beta, PI3K cat class IA, RelA (p65 NF-kB subunit), ESR1 (nuclear), IRS-2, Tcf(Lef), CYP19, SOS, NF-kB, AKT(PKB)"
201,Development_TGF-beta-dependent induction of EMT via MAPK ,47,6.50E-05,4.74E-04,6.50E-05,4.74E-04,14,"TGF-beta 2, ITGB1, PTEN, TGF-beta 3, ITGB3, TGF-beta receptor type II, ERK1/2, MMP-2, TGF-beta, SNAIL1, SOS, Fibronectin, Vimentin, Claudin-1",2.61E-03,1.40E-02,11,"TGF-beta 2, ITGB1, TGF-beta 3, ITGB3, TGF-beta receptor type II, MMP-2, TGF-beta, SOS, Fibronectin, Vimentin, Claudin-1"
202,Development_EGFR signaling pathway,71,6.75E-05,4.90E-04,6.75E-05,4.90E-04,18,"STAT3, PI3K cat class IA, Amphiregulin, PKC-theta, PKC-alpha, Epiregulin, EGFR, ERK1/2, MMP-2, MKP-2, TGF-alpha, SOS, NF-kB, ERK2 (MAPK1), AKT(PKB), PDK (PDPK1), ERK1 (MAPK3), MMP-9",1.04E-02,4.02E-02,13,"PI3K cat class IA, Amphiregulin, PKC-theta, PKC-alpha, Epiregulin, EGFR, MMP-2, MKP-2, TGF-alpha, SOS, NF-kB, AKT(PKB), MMP-9"
203,Androstenedione and testosterone biosynthesis and metabolism p.2,32,6.81E-05,6.33E-04,9.32E-05,6.33E-04,11,"UGT2B28, AKR1C3, UGT1A1, AKR1C4, UGT1A10, UGT2B15, AKR1C1, AKR1C2, UGT1A8, UGT2B17, UGT1A4",6.81E-05,9.38E-04,11,"UGT2B28, AKR1C3, UGT1A1, AKR1C4, UGT1A10, UGT2B15, AKR1C1, AKR1C2, UGT1A8, UGT2B17, UGT1A4"
204,Macrophage-induced immunosuppression in the tumor microenvironment,97,6.95E-05,5.00E-04,6.95E-05,5.00E-04,22,"STAT3, COX-2 (PTGS2), S1P1 receptor, IDO1, TIE2, CCL20, PD-L2, Adenosine A2b receptor, CD44, CCL2, MSR1, IL-34, CCR8, ERK1/2, IL-6, 5'-NTD, CD94, ALOX15B, HLA-G, CSF1, CAT-2, PD-L1",3.58E-04,3.33E-03,20,"COX-2 (PTGS2), S1P1 receptor, IDO1, TIE2, CCL20, PD-L2, Adenosine A2b receptor, CD44, CCL2, MSR1, IL-34, CCR8, IL-6, 5'-NTD, CD94, ALOX15B, HLA-G, CSF1, CAT-2, PD-L1"
205,Inhibition of apoptosis in pancreatic cancer,59,7.08E-05,5.04E-04,7.08E-05,5.04E-04,16,"BAD, STAT3, COX-2 (PTGS2), PI3K cat class IA, RelA (p65 NF-kB subunit), PKR2, PTEN, EGFR, G-protein alpha-i family, Neuropilin-1, Bcl-2, ALOX5, ERK1/2, IL-6, AKT(PKB), p53",1.55E-02,5.26E-02,11,"COX-2 (PTGS2), PI3K cat class IA, RelA (p65 NF-kB subunit), PKR2, EGFR, G-protein alpha-i family, Neuropilin-1, Bcl-2, ALOX5, IL-6, AKT(PKB)"
206,Inhibition of apoptosis in gastric cancer,42,7.59E-05,5.38E-04,7.59E-05,5.38E-04,13,"BAD, HGF, c-IAP2, Caspase-10, RUNX3, c-IAP1, TGF-beta receptor type II, Bcl-2, NF-kB, AKT(PKB), Caspase-8, HGF receptor (Met), XAF1",9.73E-04,6.42E-03,11,"HGF, c-IAP2, Caspase-10, RUNX3, c-IAP1, TGF-beta receptor type II, Bcl-2, NF-kB, AKT(PKB), HGF receptor (Met), XAF1"
207,Development_Role of proteases in hematopoietic stem cell mobilization,18,8.35E-05,6.97E-04,1.07E-04,6.97E-04,8,"alpha-4/beta-1 integrin, CD44, MMP-14, MMP-2, alpha-5/beta-1 integrin, DPP4, Fibronectin, MMP-9",8.35E-05,1.11E-03,8,"alpha-4/beta-1 integrin, CD44, MMP-14, MMP-2, alpha-5/beta-1 integrin, DPP4, Fibronectin, MMP-9"
208,Immune response_C3a signaling,48,8.39E-05,5.89E-04,8.39E-05,5.89E-04,14,"IL-1 beta, NGF, MHC class II, RelA (p65 NF-kB subunit), CCL2, IL-8, G-protein alpha-i family, Adenylate cyclase, ERK1/2, IL-6, AKT(PKB), C3a, PI3K reg class IB (p101), IP3 receptor",2.41E-04,2.48E-03,13,"IL-1 beta, NGF, MHC class II, RelA (p65 NF-kB subunit), CCL2, IL-8, G-protein alpha-i family, Adenylate cyclase, IL-6, AKT(PKB), C3a, PI3K reg class IB (p101), IP3 receptor"
209,Cell adhesion_Integrin-mediated cell adhesion and migration,48,8.39E-05,5.89E-04,8.39E-05,5.89E-04,14,"alpha-11/beta-1 integrin, MRLC, ERK1/2, alpha-5/beta-1 integrin, Actin cytoskeletal, alpha-1/beta-1 integrin, Collagen II, ERK2 (MAPK1), Collagen IV, MELC, Fibronectin, MyHC, MYLK1, MLCK",9.56E-03,3.74E-02,10,"alpha-11/beta-1 integrin, MRLC, alpha-5/beta-1 integrin, alpha-1/beta-1 integrin, Collagen II, Collagen IV, MELC, Fibronectin, MYLK1, MLCK"
210,Development_Beta-adrenergic receptors transactivation of EGFR,37,8.60E-05,5.95E-04,8.60E-05,5.95E-04,12,"Tuberin, PI3K cat class IA, ADAM12, CD44, EGFR, G-protein alpha-i family, ERK1/2, SOS, Beta-2 adrenergic receptor, ERK2 (MAPK1), MYLK1, ERK1 (MAPK3)",1.57E-02,5.27E-02,8,"PI3K cat class IA, ADAM12, CD44, EGFR, G-protein alpha-i family, SOS, Beta-2 adrenergic receptor, MYLK1"
211,TLR and EGFR-induced inflammatory signaling in normal and asthmatic airway epithelium,22,8.60E-05,5.95E-04,8.60E-05,5.95E-04,9,"IL-8, TLR6, EGFR, ERK1/2, TGF-alpha, DUOX1, TLR3, MMP-9, TLR2",4.39E-04,3.91E-03,8,"IL-8, TLR6, EGFR, TGF-alpha, DUOX1, TLR3, MMP-9, TLR2"
212,Origin of Langerhans cells in the steady-state and under inflammatory conditions,22,8.60E-05,5.95E-04,8.60E-05,5.95E-04,9,"IL-1 beta, CXCL14, CCL20, RUNX3, CCL2, IL-34, TGF-beta receptor type II, SMAD3, CSF1",4.39E-04,3.91E-03,8,"IL-1 beta, CXCL14, CCL20, RUNX3, CCL2, IL-34, TGF-beta receptor type II, CSF1"
213,IGF family signaling in colorectal cancer,60,8.83E-05,6.08E-04,8.83E-05,6.08E-04,16,"COX-2 (PTGS2), RelA (p65 NF-kB subunit), PTEN, IRS-2, IL-8, ERK1/2, Clusterin, Beta-catenin, SOS, NF-kB, ERK2 (MAPK1), AKT(PKB), ERK1 (MAPK3), IBP, C/EBPalpha, IBP3",1.75E-02,5.79E-02,11,"COX-2 (PTGS2), RelA (p65 NF-kB subunit), IRS-2, IL-8, Clusterin, SOS, NF-kB, AKT(PKB), IBP, C/EBPalpha, IBP3"
214,"Development_Role of Ceramide 1-phosphate, Sphingosine 1-phosphate and Complement cascade in hematopoietic stem cell homing",32,9.32E-05,6.33E-04,9.32E-05,6.33E-04,11,"COX-2 (PTGS2), PGE2R2, PGE2R4, S1P1 receptor, alpha-4/beta-1 integrin, ERK1/2, iC3b, AKT(PKB), PGE2R3, C3a, MMP-9",3.55E-04,3.32E-03,10,"COX-2 (PTGS2), PGE2R2, PGE2R4, S1P1 receptor, alpha-4/beta-1 integrin, iC3b, AKT(PKB), PGE2R3, C3a, MMP-9"
215,Upregulation of IL-8 expression in colorectal cancer,32,9.32E-05,6.33E-04,9.32E-05,6.33E-04,11,"IL-1 beta, RelA (p65 NF-kB subunit), IL-8, WNT, TGF-beta receptor type II, NT, TCF7L2 (TCF4), Beta-catenin, SNAIL1, Frizzled, WNT6",1.62E-03,9.73E-03,9,"IL-1 beta, RelA (p65 NF-kB subunit), IL-8, WNT, TGF-beta receptor type II, NT, TCF7L2 (TCF4), Frizzled, WNT6"
216,"Chemotaxis_CCL16-, CCL20-, CXCL16- and CCL25-mediated cell migration",43,9.96E-05,6.67E-04,9.96E-05,6.67E-04,13,"CCL20, MMP-13, CCR8, G-protein alpha-i family, MMP-2, MMP-8, CCR5, AKT(PKB), PDK (PDPK1), PI3K reg class IB (p101), MMP-9, MLCK, IP3 receptor",3.06E-04,2.94E-03,12,"CCL20, MMP-13, CCR8, G-protein alpha-i family, MMP-2, MMP-8, CCR5, AKT(PKB), PI3K reg class IB (p101), MMP-9, MLCK, IP3 receptor"
217,"NF-kB-, AP-1- and MAPKs-mediated proinflammatory cytokine production by eosinophils in asthma",43,9.96E-05,6.67E-04,9.96E-05,6.67E-04,13,"IL-1 beta, ST2(L), GRO-1, CCL2, IL-8, IL-33, ERK1/2, ENA-78, IL-6, NF-kB, ERK2 (MAPK1), Tryptase, PRG2",1.20E-03,7.56E-03,11,"IL-1 beta, ST2(L), GRO-1, CCL2, IL-8, IL-33, ENA-78, IL-6, NF-kB, Tryptase, PRG2"
218,Immune response_Substance P-stimulated expression of proinflammatory cytokines via MAPKs,43,9.96E-05,6.67E-04,9.96E-05,6.67E-04,13,"COX-2 (PTGS2), GRO-2, PKC-theta, CCL13, CCL2, PKC-alpha, IL-8, ERK1/2, IL-6, AKT(PKB), PDK (PDPK1), GRO-3, IP3 receptor",1.20E-03,7.56E-03,11,"COX-2 (PTGS2), GRO-2, PKC-theta, CCL13, CCL2, PKC-alpha, IL-8, IL-6, AKT(PKB), GRO-3, IP3 receptor"
219,Putative pathways of activation of classical complement system in major depressive disorder,28,1.01E-04,8.34E-04,1.35E-04,8.34E-04,10,"IL-1 beta, C6, C3, C4B protein, C3b, C4b, IL-6, C7, C4A protein, C4",1.01E-04,1.26E-03,10,"IL-1 beta, C6, C3, C4B protein, C3b, C4b, IL-6, C7, C4A protein, C4"
220,Role of neuropeptides in pathogenesis of SCLC,67,1.06E-04,6.97E-04,1.06E-04,6.97E-04,17,"GRP-R, cPKC (conventional), PKC, Neprilysin, PKC-alpha, EGFR, NT, ERK1/2, ErbB3, BDKRB1, Fyn, BDKRB2, SOS, AKT(PKB), G-protein alpha-q/11, Neuromedin B, IP3 receptor",7.74E-04,5.69E-03,15,"GRP-R, cPKC (conventional), PKC, Neprilysin, PKC-alpha, EGFR, NT, BDKRB1, Fyn, BDKRB2, SOS, AKT(PKB), G-protein alpha-q/11, Neuromedin B, IP3 receptor"
221,Development_Growth factors in regulation of oligodendrocyte progenitor cell proliferation,67,1.06E-04,6.97E-04,1.06E-04,6.97E-04,17,"HGF, NGF, Myelin basic protein, PI3K cat class IA, PKC, Neuregulin 1, Lyn, EGFR, ERK1/2, Fyn, FGF2, SOS, PDGF-R-alpha, AKT(PKB), PDK (PDPK1), HGF receptor (Met), Fibronectin",7.74E-04,5.69E-03,15,"HGF, NGF, Myelin basic protein, PI3K cat class IA, PKC, Neuregulin 1, Lyn, EGFR, Fyn, FGF2, SOS, PDGF-R-alpha, AKT(PKB), HGF receptor (Met), Fibronectin"
222,Glucocorticoids-mediated inhibition of pro-constrictory and pro-inflammatory signaling in airway smooth muscle cells,49,1.08E-04,6.97E-04,1.08E-04,6.97E-04,14,"COX-2 (PTGS2), IL-1 beta, RelA (p65 NF-kB subunit), GRO-1, CD38, MRLC, ERK1/2, IL-6, Myosin II, PA24A, Beta-2 adrenergic receptor, NF-kB, CPI-17, PLA2",1.11E-03,7.05E-03,12,"COX-2 (PTGS2), IL-1 beta, RelA (p65 NF-kB subunit), GRO-1, CD38, MRLC, IL-6, PA24A, Beta-2 adrenergic receptor, NF-kB, CPI-17, PLA2"
223,Mechanisms of drug resistance in multiple myeloma,49,1.08E-04,6.97E-04,1.08E-04,6.97E-04,14,"BAD, STAT3, CD44, IL-8, TCF7L2 (TCF4), Bcl-2, ERK1/2, IL-6, Beta-catenin, NOXA, IL8RA, Jagged1, Frizzled, MDR1",1.11E-02,4.21E-02,10,"CD44, IL-8, TCF7L2 (TCF4), Bcl-2, IL-6, NOXA, IL8RA, Jagged1, Frizzled, MDR1"
224,Th17 cells in CF (mouse model),49,1.08E-04,6.97E-04,1.08E-04,6.97E-04,14,"STAT3, IL-1 beta, MHC class II, GRO-1, CD14, GCP2, ICAM1, ROR-gamma, TGF-beta receptor type II, TLR4, MD-2, IL-6, NF-kB, SMAD3",1.11E-03,7.05E-03,12,"IL-1 beta, MHC class II, GRO-1, CD14, GCP2, ICAM1, ROR-gamma, TGF-beta receptor type II, TLR4, MD-2, IL-6, NF-kB"
225,Role and regulation of Prostaglandin E2 in gastric cancer,49,1.08E-04,6.97E-04,1.08E-04,6.97E-04,14,"COX-2 (PTGS2), PGE2R2, IL-1 beta, PGE2R4, CCL2, IL-8, EGFR, Adenylate cyclase, ERK1/2, PLAUR (uPAR), SOS, Jagged1, PLAU (UPA), TLR2",3.01E-04,2.93E-03,13,"COX-2 (PTGS2), PGE2R2, IL-1 beta, PGE2R4, CCL2, IL-8, EGFR, Adenylate cyclase, PLAUR (uPAR), SOS, Jagged1, PLAU (UPA), TLR2"
226,Development_c-Kit ligand signaling pathway during hemopoiesis,61,1.09E-04,7.07E-04,1.09E-04,7.07E-04,16,"BAD, STAT3, PI3K cat class IA, PLGF, PKC-alpha, Lyn, SLUG, ERK1/2, Fyn, SOS, AKT(PKB), PDK (PDPK1), GRAP2, p27KIP1, MMP-9, IP3 receptor",1.96E-02,6.28E-02,11,"PI3K cat class IA, PLGF, PKC-alpha, Lyn, SLUG, Fyn, SOS, AKT(PKB), GRAP2, MMP-9, IP3 receptor"
227,PGE2 pathways in cancer,55,1.10E-04,7.07E-04,1.10E-04,7.07E-04,15,"COX-2 (PTGS2), PGE2R2, PGE2R4, Amphiregulin, Tcf(Lef), EGFR, G-protein alpha-i family, Adenylate cyclase, TCF7L2 (TCF4), Beta-catenin, TGF-alpha, ERK2 (MAPK1), AKT(PKB), PDK (PDPK1), ERK1 (MAPK3)",9.21E-03,3.66E-02,11,"COX-2 (PTGS2), PGE2R2, PGE2R4, Amphiregulin, Tcf(Lef), EGFR, G-protein alpha-i family, Adenylate cyclase, TCF7L2 (TCF4), TGF-alpha, AKT(PKB)"
228,Proteases and EGFR-induced mucin synthesis in normal and asthmatic epithelium,55,1.10E-04,7.07E-04,1.10E-04,7.07E-04,15,"Amphiregulin, ICAM1, CD44, PKC-alpha, Mucin 2, EGFR, Mucin 5AC, ERK1/2, Mucin 5B, TGF-alpha, NF-kB, G-protein alpha-q/11, DUOX1, Kallikrein 1, IP3 receptor",2.86E-04,2.88E-03,14,"Amphiregulin, ICAM1, CD44, PKC-alpha, Mucin 2, EGFR, Mucin 5AC, Mucin 5B, TGF-alpha, NF-kB, G-protein alpha-q/11, DUOX1, Kallikrein 1, IP3 receptor"
229,G-protein signaling_Regulation of Cyclic AMP levels by ACM,45,1.18E-04,9.84E-04,1.67E-04,9.84E-04,13,"PDE1C, Adenylate cyclase type V, Adenylate cyclase type II, PKC-alpha, G-protein alpha-i family, ACM4, PDE1A, Adenylate cyclase type IV, G-protein alpha-q/11, PDE1B, IP3 receptor, ACM3, Adenylate cyclase type VII",1.18E-04,1.45E-03,13,"PDE1C, Adenylate cyclase type V, Adenylate cyclase type II, PKC-alpha, G-protein alpha-i family, ACM4, PDE1A, Adenylate cyclase type IV, G-protein alpha-q/11, PDE1B, IP3 receptor, ACM3, Adenylate cyclase type VII"
230,"IGF family, invasion and metastasis in colorectal cancer",33,1.28E-04,8.13E-04,1.28E-04,8.13E-04,11,"ITGB1, PI3K cat class IA, PLAT (TPA), Beta-catenin, PLAUR (uPAR), alpha-1/beta-1 integrin, Collagen IV, IBP6, Fibronectin, ERK1 (MAPK3), PLAU (UPA)",2.05E-03,1.15E-02,9,"ITGB1, PI3K cat class IA, PLAT (TPA), PLAUR (uPAR), alpha-1/beta-1 integrin, Collagen IV, IBP6, Fibronectin, PLAU (UPA)"
231,Immune response_TLR3 and TLR4 induced TICAM1-specific signaling pathway,33,1.28E-04,8.13E-04,1.28E-04,8.13E-04,11,"PI3K cat class IA, CD14, TLR4, Beclin 1, MD-2, TIRAP (Mal), NF-kB, AKT(PKB), PDK (PDPK1), TLR3, IFN-beta",2.05E-03,1.15E-02,9,"PI3K cat class IA, CD14, TLR4, MD-2, TIRAP (Mal), NF-kB, AKT(PKB), TLR3, IFN-beta"
232,Signal transduction_mTORC2 downstream signaling,68,1.29E-04,8.13E-04,1.29E-04,8.13E-04,17,"BAD, Tuberin, SLC12A1, cPKC (conventional), IL7RA, PKC, PKC-alpha, IMP1(ZBP1), TLR4, F-Actin cytoskeleton, Beta-catenin, SGK1, AKT(PKB), p53, FASN, p27KIP1, PREX1",8.40E-02,1.77E-01,10,"SLC12A1, cPKC (conventional), IL7RA, PKC, PKC-alpha, IMP1(ZBP1), TLR4, SGK1, AKT(PKB), PREX1"
233,Role of CD8+ Tc1 cells in COPD,44,1.29E-04,8.14E-04,1.29E-04,8.14E-04,13,"STAT3, IL-15, IL-18R1, IP10, STAT4, CCL2, CX3CR1, Bcl-2, MMP-12, CCR5, NF-kB, Cathepsin S, MMP-9",3.87E-04,3.50E-03,12,"IL-15, IL-18R1, IP10, STAT4, CCL2, CX3CR1, Bcl-2, MMP-12, CCR5, NF-kB, Cathepsin S, MMP-9"
234,Rho-dependent regulation of normal and asthmatic smooth muscle contraction,28,1.35E-04,8.34E-04,1.35E-04,8.34E-04,10,"Histamine H1 receptor, PKC, LPAR1, G-protein alpha-i family, MRLC, Myosin II, CPI-17, G-protein alpha-q/11, EDNRA, ACM3",5.54E-04,4.43E-03,9,"Histamine H1 receptor, PKC, LPAR1, G-protein alpha-i family, MRLC, CPI-17, G-protein alpha-q/11, EDNRA, ACM3"
235,Regulation of Beta-catenin activity  in melanoma,28,1.35E-04,8.34E-04,1.35E-04,8.34E-04,10,"IMP1(ZBP1), N-Ras, Bcl-2, MMP-2, Beta-catenin, AKT(PKB), alpha-MSH, p16INK4, NRCAM, MMP-9",2.62E-03,1.40E-02,8,"IMP1(ZBP1), Bcl-2, MMP-2, AKT(PKB), alpha-MSH, p16INK4, NRCAM, MMP-9"
236,"Immune response_IL-4-induced regulators of cell growth, survival, differentiation and metabolism",62,1.35E-04,8.34E-04,1.35E-04,8.34E-04,16,"STAT3, GATA-3, EGR2 (Krox20), CISH, MMP-13, ATP6V0D2, DHA2, Cyclin E, Bcl-2, Osteoprotegerin, AKT(PKB), p27KIP1, Cathepsin V, ACADL, GFI-1, CDK6",1.05E-03,6.77E-03,14,"GATA-3, EGR2 (Krox20), CISH, MMP-13, ATP6V0D2, DHA2, Cyclin E, Bcl-2, Osteoprotegerin, AKT(PKB), Cathepsin V, ACADL, GFI-1, CDK6"
237,"Cigarette smoke-induced proliferation, metaplasia and survival of airway epithelial cells ",50,1.37E-04,8.34E-04,1.37E-04,8.34E-04,14,"PCNA, nAChR alpha-7, PI3K cat class IA, Amphiregulin, Keratin 14, Fra-1, EGFR, ERK1/2, nAChR alpha-4, MMP-2, Keratin 5, ErbB3, PDK (PDPK1), MMP-9",1.27E-02,4.65E-02,10,"nAChR alpha-7, PI3K cat class IA, Amphiregulin, Keratin 14, Fra-1, EGFR, nAChR alpha-4, MMP-2, Keratin 5, MMP-9"
238,Angiogenesis in HCC,50,1.37E-04,8.34E-04,1.37E-04,8.34E-04,14,"STAT3, COX-2 (PTGS2), TIE2, Heparanase 1, CCL2, IL-8, TGF-beta receptor type II, EGFR, MMP-2, Angiopoietin 1, FGF2, NF-kB, Ephrin-B receptors, MMP-9",3.73E-04,3.43E-03,13,"COX-2 (PTGS2), TIE2, Heparanase 1, CCL2, IL-8, TGF-beta receptor type II, EGFR, MMP-2, Angiopoietin 1, FGF2, NF-kB, Ephrin-B receptors, MMP-9"
239,IGF-1 signaling in multiple myeloma,50,1.37E-04,8.34E-04,1.37E-04,8.34E-04,14,"BAD, ITGB1, c-IAP2, PI3K cat class IA, PTEN, IRS-2, ERK1/2, SOS, NF-kB, ERK2 (MAPK1), AKT(PKB), PDK (PDPK1), Fibronectin, ERK1 (MAPK3)",7.81E-02,1.69E-01,8,"ITGB1, c-IAP2, PI3K cat class IA, IRS-2, SOS, NF-kB, AKT(PKB), Fibronectin"
240,Mitogenic action of ErbB2 in breast cancer,56,1.38E-04,8.38E-04,1.38E-04,8.38E-04,15,"Tuberin, PI3K cat class IA, Neuregulin 1, Cyclin E, EGFR, TCF7L2 (TCF4), ERK1/2, ErbB3, Beta-catenin, SOS, NF-kB, AKT(PKB), PDK (PDPK1), ER81, p27KIP1",6.25E-02,1.43E-01,9,"PI3K cat class IA, Neuregulin 1, Cyclin E, EGFR, TCF7L2 (TCF4), SOS, NF-kB, AKT(PKB), ER81"
241,Development_ERBB-family signaling,39,1.52E-04,9.18E-04,1.52E-04,9.18E-04,12,"PI3K cat class IA, Amphiregulin, Neuregulin 3, Neuregulin 1, Epiregulin, EGFR, ERK1/2, ErbB3, TGF-alpha, SOS, NF-kB, AKT(PKB)",1.95E-03,1.11E-02,10,"PI3K cat class IA, Amphiregulin, Neuregulin 3, Neuregulin 1, Epiregulin, EGFR, TGF-alpha, SOS, NF-kB, AKT(PKB)"
242,Cell adhesion_PLAU signaling,39,1.52E-04,9.18E-04,1.52E-04,9.18E-04,12,"HGF, PI3K cat class IA, SERPINE2, PLAT (TPA), EGFR, ERK1/2, PAI2, PLAUR (uPAR), SOS, AKT(PKB), HGF receptor (Met), PLAU (UPA)",4.90E-04,4.06E-03,11,"HGF, PI3K cat class IA, SERPINE2, PLAT (TPA), EGFR, PAI2, PLAUR (uPAR), SOS, AKT(PKB), HGF receptor (Met), PLAU (UPA)"
243,Calcium-dependent regulation of normal and asthmatic smooth muscle contraction,69,1.56E-04,9.37E-04,1.56E-04,9.37E-04,17,"Histamine H1 receptor, TRPC4, EDNRB, TRPC3, CD38, NCX1, G-protein alpha-i family, MRLC, Myosin II, BDKRB2, TRPC6, Tryptase, MYLK1, MLCK, EDNRA, IP3 receptor, ACM3",3.44E-04,3.26E-03,16,"Histamine H1 receptor, TRPC4, EDNRB, TRPC3, CD38, NCX1, G-protein alpha-i family, MRLC, BDKRB2, TRPC6, Tryptase, MYLK1, MLCK, EDNRA, IP3 receptor, ACM3"
244,Regulation of relaxation of airway smooth muscle cells,45,1.67E-04,9.84E-04,1.67E-04,9.84E-04,13,"PGE2R2, PGE2R4, Adenylate cyclase type II, PGD2R, PACAP, F-Actin cytoskeleton, VIP receptor 1, VIP receptor 2, Adenylate cyclase type IV, Beta-2 adrenergic receptor, PGE2R3, MLCK, IP3 receptor",4.84E-04,4.06E-03,12,"PGE2R2, PGE2R4, Adenylate cyclase type II, PGD2R, PACAP, VIP receptor 1, VIP receptor 2, Adenylate cyclase type IV, Beta-2 adrenergic receptor, PGE2R3, MLCK, IP3 receptor"
245,Role of alpha-6/beta-4 integrins in carcinoma progression,45,1.67E-04,9.84E-04,1.67E-04,9.84E-04,13,"HGF, Laminin 5, PI3K cat class IA, IRS-2, PKC-alpha, Neuregulin 1, EGFR, ErbB3, Actin cytoskeletal, AKT(PKB), PDK (PDPK1), HGF receptor (Met), IP3 receptor",5.97E-03,2.61E-02,10,"HGF, Laminin 5, PI3K cat class IA, IRS-2, PKC-alpha, Neuregulin 1, EGFR, AKT(PKB), HGF receptor (Met), IP3 receptor"
246,Role of cell adhesion molecules in progression of pancreatic cancer,45,1.67E-04,9.84E-04,1.67E-04,9.84E-04,13,"IL-1 beta, ITGB1, iNOS, NCAM1, Tcf(Lef), ERK1/2, Beta-catenin, alpha-5/beta-1 integrin, SOS, Collagen IV, ITGA5, Fibronectin, SIAT8B",1.80E-03,1.06E-02,11,"IL-1 beta, ITGB1, iNOS, NCAM1, Tcf(Lef), alpha-5/beta-1 integrin, SOS, Collagen IV, ITGA5, Fibronectin, SIAT8B"
247,Cell adhesion_Plasmin signaling,35,1.71E-04,1.27E-03,2.32E-04,1.27E-03,11,"TGF-beta 2, PI3K cat class IA, MMP-13, TFPI-2, PLAT (TPA), C1 inhibitor, TGF-beta receptor type II, FGF2, Collagen IV, Fibronectin, PLAU (UPA)",1.71E-04,1.94E-03,11,"TGF-beta 2, PI3K cat class IA, MMP-13, TFPI-2, PLAT (TPA), C1 inhibitor, TGF-beta receptor type II, FGF2, Collagen IV, Fibronectin, PLAU (UPA)"
