Enrichment analysis report,,,,,,,,,,,,,
Enrichment by Pathway Maps,,,,,down_genes_int_061520_genelist,,,,down_genes_rna_061620_genelist,,,,
#,Maps,Total,min(pValue),Min FDR,p-value,FDR,In Data,"Network Objects from
Active Data",p-value,FDR,In Data,"Network Objects from
Active Data",
201,Development_TGF-beta-dependent induction of EMT via MAPK ,47,1.330E-04,9.277E-04,1.330E-04,9.277E-04,11,"TGF-beta 2, ITGB1, TGF-beta, SNAIL1, Fibronectin, Vimentin, ITGB3, Claudin-1, TGF-beta receptor type II, ERK1/2, MMP-2",1.959E-03,1.098E-02,9,"TGF-beta 2, ITGB1, TGF-beta, Fibronectin, Vimentin, ITGB3, Claudin-1, TGF-beta receptor type II, MMP-2",
202,Immune response_Role of DAP12 receptors in NK cells,55,1.371E-04,9.515E-04,1.371E-04,9.515E-04,12,"Syk, NKG2C, Actin cytoskeletal, Fyn, CD94, PI3K cat class IA, KLRC3, Lck, HLA-G, PKC-theta, HLA-B, ERK1/2",5.901E-03,2.512E-02,9,"Syk, NKG2C, Fyn, CD94, PI3K cat class IA, KLRC3, HLA-G, PKC-theta, HLA-B",
203,Hypothetical role of microRNAs in fibrosis development after myocardial infarction,26,1.426E-04,9.846E-04,1.426E-04,9.846E-04,8,"Fibrillin 1, PI3K cat class IA, SMAD3, CTGF, AKT(PKB), TGF-beta receptor type II, MMP-2, Collagen III",7.527E-04,5.453E-03,7,"Fibrillin 1, PI3K cat class IA, CTGF, AKT(PKB), TGF-beta receptor type II, MMP-2, Collagen III",
204,Development_H3K27 demethylases in differentiation of stem cells,40,1.487E-04,1.017E-03,1.487E-04,1.017E-03,10,"Nestin, HOXA1, HOXA7, HOXA3, SMAD3, DLX5, BMP4, HOXA11, BMP2, PAX6",5.777E-04,4.467E-03,9,"Nestin, HOXA1, HOXA7, HOXA3, DLX5, BMP4, HOXA11, BMP2, PAX6",
205,Cell adhesion_IL-8 family-dependent cell migration and adhesion,40,1.487E-04,1.017E-03,1.487E-04,1.017E-03,10,"GRO-2, GRO-1, GCP2, ITGB2, ICAM1, IL-8, GRO-3, G-protein alpha-i family, ERK1/2, ENA-78",5.777E-04,4.467E-03,9,"GRO-2, GRO-1, GCP2, ITGB2, ICAM1, IL-8, GRO-3, G-protein alpha-i family, ENA-78",
206,Role of IFN-beta in the improvement of blood-brain barrier integrity in multiple sclerosis,27,1.520E-04,1.248E-03,1.914E-04,1.248E-03,8,"TNF-R2, 5'-NTD, ITGA4, alpha-4/beta-1 integrin, ICAM1, IFN-beta, MMP-9, sICAM1",1.520E-04,1.630E-03,8,"TNF-R2, 5'-NTD, ITGA4, alpha-4/beta-1 integrin, ICAM1, IFN-beta, MMP-9, sICAM1",
207,Normal and pathological TGF-beta-mediated regulation of cell proliferation,33,1.547E-04,1.043E-03,1.547E-04,1.043E-03,9,"Beta-catenin, FGF2, SMAD3, PDGF-R-alpha, PDGF receptor, p53, ITGB3, TGF-beta receptor type II, PDGF-R-beta",1.402E-02,4.809E-02,6,"FGF2, PDGF-R-alpha, PDGF receptor, ITGB3, TGF-beta receptor type II, PDGF-R-beta",
208,Development_Role of PKR1 and ILK in cardiac progenitor cells,33,1.547E-04,1.043E-03,1.547E-04,1.043E-03,9,"Beta-catenin, ITGB1, PI3K cat class IA, AKT(PKB), G-protein alpha-q/11, alpha-4/beta-1 integrin, Fibronectin, Tcf(Lef), ERK1/2",3.359E-03,1.634E-02,7,"ITGB1, PI3K cat class IA, AKT(PKB), G-protein alpha-q/11, alpha-4/beta-1 integrin, Fibronectin, Tcf(Lef)",
209,Immune response_C3a signaling,48,1.628E-04,1.087E-03,1.628E-04,1.087E-03,11,"IL-1 beta, IL-6, NGF, MHC class II, AKT(PKB), CCL2, C3a, IL-8, G-protein alpha-i family, Adenylate cyclase, ERK1/2",5.575E-04,4.389E-03,10,"IL-1 beta, IL-6, NGF, MHC class II, AKT(PKB), CCL2, C3a, IL-8, G-protein alpha-i family, Adenylate cyclase",
210,Signal transduction_Adenosine A3 receptor signaling pathway,48,1.628E-04,1.087E-03,1.628E-04,1.087E-03,11,"BAD, STAT3, IL-1 beta, Rho GTPase, PI3K cat class IA, PKC, AKT(PKB), G-protein alpha-q/11, G-protein alpha-i family, Adenylate cyclase, ERK1/2",8.256E-03,3.250E-02,8,"IL-1 beta, Rho GTPase, PI3K cat class IA, PKC, AKT(PKB), G-protein alpha-q/11, G-protein alpha-i family, Adenylate cyclase",
211,Role of FSH and Lutropin in ovarian cancer,56,1.646E-04,1.093E-03,1.646E-04,1.093E-03,12,"COX-2 (PTGS2), IL-6, TRPC3, AKT(PKB), CD44, PKC-alpha, Cyclin E, EGFR, MMP-9, Adenylate cyclase, ERK1/2, MMP-2",5.097E-04,4.133E-03,11,"COX-2 (PTGS2), IL-6, TRPC3, AKT(PKB), CD44, PKC-alpha, Cyclin E, EGFR, MMP-9, Adenylate cyclase, MMP-2",
212,Regulation and signaling of HGF receptor (Met) and MSP receptor (RON) in lung cancer,73,1.703E-04,1.126E-03,1.703E-04,1.126E-03,14,"STAT3, HGF, COX-2 (PTGS2), IL-1 beta, IL-6, Beta-catenin, PI3K cat class IA, FGF2, AKT(PKB), PKC-alpha, HGF receptor (Met), MMP-9, ERK1/2, MMP-2",4.722E-03,2.108E-02,11,"HGF, COX-2 (PTGS2), IL-1 beta, IL-6, PI3K cat class IA, FGF2, AKT(PKB), PKC-alpha, HGF receptor (Met), MMP-9, MMP-2",
213,Multiple sclerosis (general schema),21,1.742E-04,1.365E-03,2.144E-04,1.365E-03,7,"NGF, FGF2, ICAM1, Fibronectin, Jagged1, IFN-beta, LIF",1.742E-04,1.850E-03,7,"NGF, FGF2, ICAM1, Fibronectin, Jagged1, IFN-beta, LIF",
214,Androgen receptor activation and downstream signaling in Prostate cancer,110,1.820E-04,1.197E-03,1.820E-04,1.197E-03,18,"STAT3, IL-6, N-cadherin, Matrilysin (MMP-7), SGK1, FGF2, ERK2 (MAPK1), AKT(PKB), Caveolin-1, SPRY2, p53, STEAP1, ER81, IL-8, EGFR, TLR2, IBP3, Versican",2.903E-03,1.496E-02,15,"IL-6, N-cadherin, Matrilysin (MMP-7), SGK1, FGF2, AKT(PKB), Caveolin-1, SPRY2, STEAP1, ER81, IL-8, EGFR, TLR2, IBP3, Versican",
215,Pancreatic cancer cell resistance to Tarceva (erlotinib),27,1.914E-04,1.248E-03,1.914E-04,1.248E-03,8,"Beta-catenin, PI3K cat class IA, TGF-alpha, SNAIL1, AKT(PKB), Vimentin, TCF8, EGFR",5.120E-03,2.250E-02,6,"PI3K cat class IA, TGF-alpha, AKT(PKB), Vimentin, TCF8, EGFR",
216,Immune response_TLR ligands,35,1.966E-04,1.549E-03,2.526E-04,1.549E-03,9,"TLR1, TLR7, CD14, TLR10, Fibronectin, TLR6, TLR4, TLR2, MD-2",1.966E-04,2.029E-03,9,"TLR1, TLR7, CD14, TLR10, Fibronectin, TLR6, TLR4, TLR2, MD-2",
217,Mechanisms of drug resistance in multiple myeloma,49,1.980E-04,1.283E-03,1.980E-04,1.283E-03,11,"BAD, STAT3, IL-6, Beta-catenin, NOXA, CD44, Jagged1, IL-8, Frizzled, MDR1, ERK1/2",2.898E-02,8.507E-02,7,"IL-6, NOXA, CD44, Jagged1, IL-8, Frizzled, MDR1",
218,Development_Epigenetic and transcriptional regulation of oligodendrocyte precursor cell differentiation and myelination,34,1.987E-04,1.283E-03,1.987E-04,1.283E-03,9,"Beta-catenin, SOX10, Myelin basic protein, C11orf9, HES5, SOX8, ID4, Jagged1, Frizzled",8.478E-04,5.983E-03,8,"SOX10, Myelin basic protein, C11orf9, HES5, SOX8, ID4, Jagged1, Frizzled",
219,Cytoskeleton remodeling_PDGF signaling via calcium and Rho GTPases,83,2.018E-04,1.297E-03,2.018E-04,1.297E-03,15,"PDGF-C, N-cadherin, Beta-catenin, Actin cytoskeletal, Fyn, PDGFR-ab, Schwannomin (NF2), TRPC6, Lysyl oxidase, PKC, PDGF-R-alpha, F-Actin, PDGF receptor, PKC-alpha, PDGF-R-beta",1.232E-02,4.303E-02,11,"PDGF-C, N-cadherin, Fyn, PDGFR-ab, TRPC6, Lysyl oxidase, PKC, PDGF-R-alpha, PDGF receptor, PKC-alpha, PDGF-R-beta",
220,Development_Role of G-CSF in hematopoietic stem cell mobilization,21,2.144E-04,1.365E-03,2.144E-04,1.365E-03,7,"STAT3, S1P1 receptor, DPP4, ICAM1, MMP-9, MMP-14, GFI-1",1.286E-03,8.187E-03,6,"S1P1 receptor, DPP4, ICAM1, MMP-9, MMP-14, GFI-1",
221,Role of cell adhesion in vaso-occlusion in Sickle cell disease,43,2.159E-04,1.693E-03,2.828E-04,1.693E-03,10,"IL-1 beta, iC3b, CD14, Fc gamma RII alpha, ITGB2, alpha-4/beta-1 integrin, ICAM1, CD44, Fibronectin, IL-8",2.159E-04,2.146E-03,10,"IL-1 beta, iC3b, CD14, Fc gamma RII alpha, ITGB2, alpha-4/beta-1 integrin, ICAM1, CD44, Fibronectin, IL-8",
222,Inhibition of apoptosis in gastric cancer,42,2.299E-04,1.445E-03,2.299E-04,1.445E-03,10,"BAD, HGF, c-IAP2, Caspase-10, AKT(PKB), RUNX3, Caspase-8, HGF receptor (Met), TGF-beta receptor type II, XAF1",3.569E-03,1.694E-02,8,"HGF, c-IAP2, Caspase-10, AKT(PKB), RUNX3, HGF receptor (Met), TGF-beta receptor type II, XAF1",
223,Development_TGF-beta family mediated differentiation of embryonic stem cells,42,2.299E-04,1.445E-03,2.299E-04,1.445E-03,10,"Mixl1, Nestin, TAZ, HOXA1, SMAD3, Activin A, Oct-3/4, TGF-beta receptor type II, BMP4, PAX6",8.437E-04,5.983E-03,9,"Mixl1, Nestin, TAZ, HOXA1, Activin A, Oct-3/4, TGF-beta receptor type II, BMP4, PAX6",
224,Chemoresistance pathways mediated by constitutive activation of PI3K pathway and BCL-2 in small cell lung cancer,42,2.299E-04,1.445E-03,2.299E-04,1.445E-03,10,"Laminin 5, alpha-5/beta-1 integrin, BMX, PI3K cat class IA, FGF2, LAMC2, AKT(PKB), Collagen IV, p53, Fibronectin",8.437E-04,5.983E-03,9,"Laminin 5, alpha-5/beta-1 integrin, BMX, PI3K cat class IA, FGF2, LAMC2, AKT(PKB), Collagen IV, Fibronectin",
225,Development_Thromboxane A2 signaling pathway,50,2.396E-04,1.492E-03,2.396E-04,1.492E-03,11,"IL-6, Beta-catenin, cPKC (conventional), PI3K cat class IA, PKC, AKT(PKB), Tcf(Lef), EGFR, G-protein alpha-i family, Adenylate cyclase, ERK1/2",3.056E-03,1.519E-02,9,"IL-6, cPKC (conventional), PI3K cat class IA, PKC, AKT(PKB), Tcf(Lef), EGFR, G-protein alpha-i family, Adenylate cyclase",
226,Survival pathways in Prostate Cancer,50,2.396E-04,1.492E-03,2.396E-04,1.492E-03,11,"BAD, STAT3, TRUNDD(TNFRSF10D), IL-6, PI3K cat class IA, Caspase-10, ERK2 (MAPK1), AKT(PKB), CCL2, Caspase-8, p53",8.431E-02,1.846E-01,6,"TRUNDD(TNFRSF10D), IL-6, PI3K cat class IA, Caspase-10, AKT(PKB), CCL2",
227,Th2 cytokine- and TNF-alpha-induced inflammatory response in asthmatic airway fibroblasts,35,2.526E-04,1.549E-03,2.526E-04,1.549E-03,9,"COX-2 (PTGS2), IL-6, ITGB1, alpha-5/beta-1 integrin, ICAM1, CCL2, ITGA5, IL-8, ERK1/2",1.041E-03,7.087E-03,8,"COX-2 (PTGS2), IL-6, ITGB1, alpha-5/beta-1 integrin, ICAM1, CCL2, ITGA5, IL-8",
228,Development_WNT and Notch signaling in early cardiac myogenesis,35,2.526E-04,1.549E-03,2.526E-04,1.549E-03,9,"Beta-catenin, Jagged1, FZD7, Dsh, WNT, TCF7 (TCF1), BMP2, Frizzled, MEF2C",4.752E-03,2.108E-02,7,"Jagged1, FZD7, WNT, TCF7 (TCF1), BMP2, Frizzled, MEF2C",
229,The role of aberrations in CDKN2 locus and CDK4 in familial melanoma,28,2.532E-04,1.549E-03,2.532E-04,1.549E-03,8,"p15, p14ARF, RUNX2, p53, p16INK4, FLRT3, EGFR, CDK6",1.217E-03,8.084E-03,7,"p15, p14ARF, RUNX2, p16INK4, FLRT3, EGFR, CDK6",
230,"Role of microRNAs in cell migration, survival and angiogenesis in colorectal cancer",67,2.556E-04,1.557E-03,2.556E-04,1.557E-03,13,"COX-2 (PTGS2), PGE2R4, CTGF, AKT(PKB), SPRY2, Fra-1, p53, HGF receptor (Met), UFO, TGF-beta receptor type II, MMP-9, Neuropilin-1, MMP-2",6.939E-04,5.159E-03,12,"COX-2 (PTGS2), PGE2R4, CTGF, AKT(PKB), SPRY2, Fra-1, HGF receptor (Met), UFO, TGF-beta receptor type II, MMP-9, Neuropilin-1, MMP-2",
231,Release of pro-inflammatory factors and proteases by alveolar macrophages in asthma,44,2.643E-04,1.979E-03,3.454E-04,1.979E-03,10,"GRO-2, IL-1 beta, IL-6, GRO-1, iNOS, CCL2, IL-8, MMP-9, TLR4, TLR2",2.643E-04,2.448E-03,10,"GRO-2, IL-1 beta, IL-6, GRO-1, iNOS, CCL2, IL-8, MMP-9, TLR4, TLR2",
232,Arachidonic acid metabolites production in eosinophils in asthma,44,2.643E-04,1.979E-03,3.454E-04,1.979E-03,10,"COX-2 (PTGS2), PA24A, PKC, alpha-4/beta-1 integrin, ICAM1, PGD2R, Fibronectin, cPLA2, G-protein alpha-i family, ALOX5",2.643E-04,2.448E-03,10,"COX-2 (PTGS2), PA24A, PKC, alpha-4/beta-1 integrin, ICAM1, PGD2R, Fibronectin, cPLA2, G-protein alpha-i family, ALOX5",
233,Development_Regulation of cytoskeleton proteins in oligodendrocyte differentiation and myelination,59,2.768E-04,1.679E-03,2.768E-04,1.679E-03,12,"Tubulin beta, Myosin II, Myelin basic protein, Actin cytoskeletal, Fyn, MAP-1B, NCAM1, PDGF-R-alpha, PDGF receptor, MELC, MAP2, MRLC",2.911E-03,1.496E-02,10,"Tubulin beta, Myelin basic protein, Fyn, MAP-1B, NCAM1, PDGF-R-alpha, PDGF receptor, MELC, MAP2, MRLC",
234,Effect of H. pylori infection on gastric epithelial cells motility,43,2.828E-04,1.693E-03,2.828E-04,1.693E-03,10,"Beta-catenin, ITGB1, alpha-5/beta-1 integrin, Actin cytoskeletal, PKC-alpha, Claudin-1, Lyn, Actin, PTPR-zeta, ERK1/2",1.490E-02,4.987E-02,7,"ITGB1, alpha-5/beta-1 integrin, PKC-alpha, Claudin-1, Lyn, Actin, PTPR-zeta",
235,Immune response_Substance P-stimulated expression of proinflammatory cytokines via MAPKs,43,2.828E-04,1.693E-03,2.828E-04,1.693E-03,10,"COX-2 (PTGS2), GRO-2, IL-6, PKC-theta, AKT(PKB), CCL2, PKC-alpha, IL-8, GRO-3, ERK1/2",1.010E-03,6.912E-03,9,"COX-2 (PTGS2), GRO-2, IL-6, PKC-theta, AKT(PKB), CCL2, PKC-alpha, IL-8, GRO-3",
236,Role of activation of WNT signaling in the progression of lung cancer,77,3.055E-04,1.813E-03,3.055E-04,1.813E-03,14,"WNT3, Beta-catenin, Matrilysin (MMP-7), iNOS, DVL-3, SFRP1, RUNX3, Oct-3/4, DKK3, Tcf(Lef), FZD7, Dsh, WNT, Frizzled",7.104E-03,2.932E-02,11,"WNT3, Matrilysin (MMP-7), iNOS, SFRP1, RUNX3, Oct-3/4, DKK3, Tcf(Lef), FZD7, WNT, Frizzled",
237,Immune response _CCR3 signaling in eosinophils,77,3.055E-04,1.813E-03,3.055E-04,1.813E-03,14,"Myosin II, Actin cytoskeletal, Rac2, iNOS, ERK2 (MAPK1), Eotaxin-2, MELC, PKC-alpha, MyHC, cPLA2, G-protein alpha-i family, MLCK, MRLC, CCL7",1.893E-02,6.011E-02,10,"Rac2, iNOS, Eotaxin-2, MELC, PKC-alpha, cPLA2, G-protein alpha-i family, MLCK, MRLC, CCL7",
238,Immune response_Alternative complement pathway,53,3.087E-04,2.273E-03,4.107E-04,2.273E-03,11,"C7, PTX3, iC3b, C3dg, FHR-1, C6, C3a, C3, Factor I, C3b, C3c",3.087E-04,2.798E-03,11,"C7, PTX3, iC3b, C3dg, FHR-1, C6, C3a, C3, Factor I, C3b, C3c",
239,Gamma-secretase regulation of osteogenesis,37,3.102E-04,2.215E-03,3.969E-04,2.215E-03,9,"ALPL, CD44 (ICD), RUNX2, Osteoprotegerin, CSF1, CD44, Jagged1, CD44 soluble, CD44 (EXT)",3.102E-04,2.798E-03,9,"ALPL, CD44 (ICD), RUNX2, Osteoprotegerin, CSF1, CD44, Jagged1, CD44 soluble, CD44 (EXT)",
240,IGF-1 signaling in pancreatic cancer,36,3.180E-04,1.864E-03,3.180E-04,1.864E-03,9,"STAT3, COX-2 (PTGS2), PI3K cat class IA, NUAK1, IRS-2, MMP-9, ERK1/2, MMP-14, MMP-2",5.594E-03,2.403E-02,7,"COX-2 (PTGS2), PI3K cat class IA, NUAK1, IRS-2, MMP-9, MMP-14, MMP-2",
241,Th17 cytokines in COPD,36,3.180E-04,1.864E-03,3.180E-04,1.864E-03,9,"STAT3, IL-1 beta, IL-6, MHC class II, CCL20, GRO-1, CCL2, IL-8, MMP-9",1.267E-03,8.141E-03,8,"IL-1 beta, IL-6, MHC class II, CCL20, GRO-1, CCL2, IL-8, MMP-9",
242,Development_Thrombospondin 1 signaling,36,3.180E-04,1.864E-03,3.180E-04,1.864E-03,9,"Fyn, FGF2, alpha-4/beta-1 integrin, Caspase-8, alpha-9/beta-1 integrin, VLDLR, ITGB3, G-protein alpha-i family, Adenylate cyclase",1.267E-03,8.141E-03,8,"Fyn, FGF2, alpha-4/beta-1 integrin, alpha-9/beta-1 integrin, VLDLR, ITGB3, G-protein alpha-i family, Adenylate cyclase",
243,Suppression of TGF-beta signaling in pancreatic cancer,29,3.304E-04,1.929E-03,3.304E-04,1.929E-03,8,"p15, Biglycan, SMAD3, ERK2 (MAPK1), ETS1, TGF-beta receptor type II, MMP-9, PLAU (UPA)",7.402E-03,2.991E-02,6,"p15, Biglycan, ETS1, TGF-beta receptor type II, MMP-9, PLAU (UPA)",
244,Role of adipose tissue hypoxia in obesity and type 2 diabetes,30,3.400E-04,2.329E-03,4.258E-04,2.329E-03,8,"Angiopoietin 1, IL-1 beta, IL-6, MCT1 (SLC16A1), Lysyl oxidase, CCL2, MMP-9, IBP3",3.400E-04,2.931E-03,8,"Angiopoietin 1, IL-1 beta, IL-6, MCT1 (SLC16A1), Lysyl oxidase, CCL2, MMP-9, IBP3",
245,IGF signaling in lung cancer,44,3.454E-04,1.979E-03,3.454E-04,1.979E-03,10,"BAD, PI3K cat class IA, AKT(PKB), IRS-2, MMP-9, IBP, PLAU (UPA), ERK1/2, IBP3, MMP-2",4.811E-03,2.127E-02,8,"PI3K cat class IA, AKT(PKB), IRS-2, MMP-9, IBP, PLAU (UPA), IBP3, MMP-2",
246,Mucin expression in CF airways,69,3.462E-04,1.979E-03,3.462E-04,1.979E-03,13,"PGF2aR, COX-2 (PTGS2), PGE2R2, IL-1 beta, PGE2R4, PI3K cat class IA, TGF-alpha, PKC-theta, AKT(PKB), G-protein alpha-q/11, PKC-alpha, EGFR, ERK1/2",9.114E-04,6.366E-03,12,"PGF2aR, COX-2 (PTGS2), PGE2R2, IL-1 beta, PGE2R4, PI3K cat class IA, TGF-alpha, PKC-theta, AKT(PKB), G-protein alpha-q/11, PKC-alpha, EGFR",
247,Calcium-dependent regulation of normal and asthmatic smooth muscle contraction,69,3.462E-04,1.979E-03,3.462E-04,1.979E-03,13,"Histamine H1 receptor, Myosin II, TRPC4, TRPC6, TRPC3, CD38, MYLK1, NCX1, G-protein alpha-i family, MLCK, MRLC, EDNRA, ACM3",9.114E-04,6.366E-03,12,"Histamine H1 receptor, TRPC4, TRPC6, TRPC3, CD38, MYLK1, NCX1, G-protein alpha-i family, MLCK, MRLC, EDNRA, ACM3",
248,Development_c-Kit ligand signaling pathway during hemopoiesis,61,3.833E-04,2.182E-03,3.833E-04,2.182E-03,12,"BAD, STAT3, Fyn, PI3K cat class IA, AKT(PKB), PLGF, PKC-alpha, GRAP2, Lyn, SLUG, MMP-9, ERK1/2",1.162E-02,4.099E-02,9,"Fyn, PI3K cat class IA, AKT(PKB), PLGF, PKC-alpha, GRAP2, Lyn, SLUG, MMP-9",
249,Development_Oligodendrocyte differentiation (general schema),38,3.846E-04,2.625E-03,4.912E-04,2.625E-03,9,"SOX10, Myelin basic protein, FGF2, TGF-alpha, PDGF-R-alpha, BMP4, EGFR, BMP2, EDNRA",3.846E-04,3.253E-03,9,"SOX10, Myelin basic protein, FGF2, TGF-alpha, PDGF-R-alpha, BMP4, EGFR, BMP2, EDNRA",
250,Development_MAG-dependent inhibition of neurite outgrowth,37,3.969E-04,2.215E-03,3.969E-04,2.215E-03,9,"NGF, Myosin II, NGFR (ICD), NGFR(TNFRSF16), Actin cytoskeletal, NGFR (CTF), MELC, MyHC, MRLC",2.393E-02,7.323E-02,6,"NGF, NGFR (ICD), NGFR(TNFRSF16), NGFR (CTF), MELC, MRLC",
251,Development_Beta-adrenergic receptors transactivation of EGFR,37,3.969E-04,2.215E-03,3.969E-04,2.215E-03,9,"PI3K cat class IA, Beta-2 adrenergic receptor, ERK2 (MAPK1), ADAM12, CD44, MYLK1, EGFR, G-protein alpha-i family, ERK1/2",6.542E-03,2.716E-02,7,"PI3K cat class IA, Beta-2 adrenergic receptor, ADAM12, CD44, MYLK1, EGFR, G-protein alpha-i family",
252,Development_Retinoic acid and retinoic acid receptors in regulation of oligodendrocyte differentiation,37,3.969E-04,2.215E-03,3.969E-04,2.215E-03,9,"p15, Myelin basic protein, STRA6, p14ARF, DHA2, PDGF-R-alpha, p53, BMP4, BMP2",1.531E-03,9.107E-03,8,"p15, Myelin basic protein, STRA6, p14ARF, DHA2, PDGF-R-alpha, BMP4, BMP2",
253,Attenuation of IFN type I signaling in melanoma cells,37,3.969E-04,2.215E-03,3.969E-04,2.215E-03,9,"STAT3, PSMB9, TAP1 (PSF1), PSMB8(LMP7), HLA-A, I-TAC, TAP, IFN-beta, TAP2 (PSF2)",1.531E-03,9.107E-03,8,"PSMB9, TAP1 (PSF1), PSMB8(LMP7), HLA-A, I-TAC, TAP, IFN-beta, TAP2 (PSF2)",
254,Stem cells_Aberrant Wnt signaling in medulloblastoma stem cells,23,4.042E-04,2.246E-03,4.042E-04,2.246E-03,7,"Beta-catenin, Matrilysin (MMP-7), AKT(PKB), CD44, Dsh, WNT, Frizzled",1.149E-02,4.077E-02,5,"Matrilysin (MMP-7), AKT(PKB), CD44, WNT, Frizzled",
255,Cell adhesion_Histamine H1 receptor signaling in the interruption of cell barrier integrity,45,4.192E-04,2.302E-03,4.192E-04,2.302E-03,10,"Histamine H1 receptor, Myosin II, Beta-catenin, Actin cytoskeletal, CPI-17, G-protein alpha-q/11, MELC, PKC-alpha, MLCK, MRLC",1.889E-02,6.011E-02,7,"Histamine H1 receptor, CPI-17, G-protein alpha-q/11, MELC, PKC-alpha, MLCK, MRLC",
256,Proinflammatory mediators production and activation of basophils in asthma,45,4.192E-04,2.302E-03,4.192E-04,2.302E-03,10,"NGF, ST2(L), MHC class II, PI3K cat class IA, DHA2, AKT(PKB), ITGA4, IL-8, IL-33, ERK1/2",1.422E-03,8.864E-03,9,"NGF, ST2(L), MHC class II, PI3K cat class IA, DHA2, AKT(PKB), ITGA4, IL-8, IL-33",
257,Arachidonic acid metabolites production in alveolar macrophages in asthma,31,4.339E-04,2.782E-03,5.424E-04,2.782E-03,8,"COX-2 (PTGS2), IL-1 beta, CCL2, IL-8, cPLA2, TLR4, TLR2, ALOX5",4.339E-04,3.625E-03,8,"COX-2 (PTGS2), IL-1 beta, CCL2, IL-8, cPLA2, TLR4, TLR2, ALOX5",
258,Immune response_Antigen presentation by MHC class II,118,4.437E-04,2.418E-03,4.437E-04,2.418E-03,18,"MHC class II alpha chain, Syk, Dectin-1, LY75, MHC class II, PI3K cat class IA, Langerin, PKC, MHC class II beta chain, ARL14, PKC-alpha, Dynein 1, cytoplasmic, intermediate chains, Cathepsin S, Cathepsin V, TAP, TLR4, TLR2, ERK1/2",8.477E-04,5.983E-03,17,"MHC class II alpha chain, Syk, Dectin-1, LY75, MHC class II, PI3K cat class IA, Langerin, PKC, MHC class II beta chain, ARL14, PKC-alpha, Dynein 1, cytoplasmic, intermediate chains, Cathepsin S, Cathepsin V, TAP, TLR4, TLR2",
259,"Immune response_IL-4-induced regulators of cell growth, survival, differentiation and metabolism",62,4.483E-04,2.434E-03,4.483E-04,2.434E-03,12,"STAT3, EGR2 (Krox20), MMP-13, ATP6V0D2, DHA2, Osteoprotegerin, AKT(PKB), Cyclin E, Cathepsin V, ACADL, GFI-1, CDK6",1.244E-03,8.141E-03,11,"EGR2 (Krox20), MMP-13, ATP6V0D2, DHA2, Osteoprotegerin, AKT(PKB), Cyclin E, Cathepsin V, ACADL, GFI-1, CDK6",
260,Complement pathway disruption in thrombotic microangiopathy,39,4.731E-04,3.033E-03,6.031E-04,3.033E-03,9,"IL-1 beta, cPKC (conventional), PKC, MYLK1, C3a, C3, IL-8, Factor I, C3b",4.731E-04,3.858E-03,9,"IL-1 beta, cPKC (conventional), PKC, MYLK1, C3a, C3, IL-8, Factor I, C3b",
261,Growth factors in regulation of oligodendrocyte precursor cells proliferation in multiple sclerosis,54,4.866E-04,2.625E-03,4.866E-04,2.625E-03,11,"HGF, NGF, Myelin basic protein, PI3K cat class IA, FGF2, PKC, PDGF-R-alpha, AKT(PKB), HGF receptor (Met), Fibronectin, ERK1/2",1.462E-03,8.968E-03,10,"HGF, NGF, Myelin basic protein, PI3K cat class IA, FGF2, PKC, PDGF-R-alpha, AKT(PKB), HGF receptor (Met), Fibronectin",
262,Insulin-like growth factor family signaling in melanoma,38,4.912E-04,2.625E-03,4.912E-04,2.625E-03,9,"Beta-catenin, PI3K cat class IA, PKC, AKT(PKB), p53, IL-8, Cyclin E, ERK1/2, IBP3",2.699E-02,7.973E-02,6,"PI3K cat class IA, PKC, AKT(PKB), IL-8, Cyclin E, IBP3",
263,WNT signaling in proliferative-type melanoma cells,38,4.912E-04,2.625E-03,4.912E-04,2.625E-03,9,"Beta-catenin, DVL-3, DKK3, Fibronectin, Dsh, WNT, Frizzled, ERK1/2, DACT1",8.105E-02,1.792E-01,5,"DKK3, Fibronectin, WNT, Frizzled, DACT1",
264,Signal transduction_PTEN pathway,46,5.057E-04,2.693E-03,5.057E-04,2.693E-03,10,"BAD, PCNA, Beta-catenin, alpha-5/beta-1 integrin, PI3K cat class IA, AKT(PKB), p53, Tcf(Lef), EGFR, ERK1/2",1.499E-01,2.774E-01,5,"alpha-5/beta-1 integrin, PI3K cat class IA, AKT(PKB), Tcf(Lef), EGFR",
265,Populations of skin dendritic cells involved in contact hypersensitivity,18,5.156E-04,3.048E-03,6.161E-04,3.048E-03,6,"LY75, MHC class II, CD83, Langerin, EMR1, CD1d",5.156E-04,4.156E-03,6,"LY75, MHC class II, CD83, Langerin, EMR1, CD1d",
266,Transport_Macropinocytosis regulation by growth factors,63,5.224E-04,2.771E-03,5.224E-04,2.771E-03,12,"HGF, AMPK gamma subunit, NGF, Actin cytoskeletal, PDGF-R-alpha, AKT(PKB), CSF1, PDGF receptor, IRS-2, HGF receptor (Met), EGFR, PDGF-R-beta",1.425E-03,8.864E-03,11,"HGF, AMPK gamma subunit, NGF, PDGF-R-alpha, AKT(PKB), CSF1, PDGF receptor, IRS-2, HGF receptor (Met), EGFR, PDGF-R-beta",
